page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,NA,TRUE,empty
1,4,NA,TRUE,empty
1,5,NA,TRUE,empty
1,6,NA,TRUE,empty
1,7,NA,TRUE,empty
1,8,NA,TRUE,empty
1,9,NA,TRUE,empty
1,10,NA,TRUE,empty
1,11,AMRO Annual Consultation Report,TRUE,normal
1,12,Indonesia - 2018,TRUE,normal
1,13,NA,TRUE,empty
1,14,NA,TRUE,empty
1,15,NA,TRUE,empty
1,16,NA,TRUE,empty
1,17,NA,TRUE,empty
1,18,NA,TRUE,empty
1,19,NA,TRUE,empty
1,20,NA,TRUE,empty
1,21,NA,TRUE,empty
1,22,NA,TRUE,empty
1,23,NA,TRUE,empty
1,24,NA,TRUE,empty
1,25,NA,TRUE,empty
1,26,NA,TRUE,empty
1,27,NA,TRUE,empty
1,28,NA,TRUE,empty
1,29,NA,TRUE,empty
1,30,NA,TRUE,empty
1,31,NA,TRUE,empty
1,32,NA,TRUE,empty
1,33,The ASEAN+3 Macroeconomic Research Office (AMRO),TRUE,normal
1,34,August 2018,TRUE,normal
1,35,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,Indonesia Annual Consultation Report 2018,TRUE,page_header
2,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 2 of 37,TRUE,page_footer
2,4,NA,TRUE,empty
2,5,NA,TRUE,empty
2,6,NA,TRUE,empty
2,7,Acknowledgements,TRUE,normal
2,8,NA,TRUE,empty
2,9,"1. This Annual Consultation Report on Indonesia has been prepared in accordance with the functions of AMRO to monitor, assess and report its members’ macroeconomic status and financial soundness and to identify the relevant risks and vulnerabilities, and assist them in the timely formulation of policy recommendation to mitigate such risks (Article 3(a) and (b) of AMRO Agreement).",TRUE,normal
2,10,"2. This Report is drafted on the basis of the Annual Consultation Visit of AMRO to Indonesia from May 28 – June 7, 2018 (Article 5 (b) of AMRO Agreement). The AMRO Mission team was headed by Dr Sumio Ishikawa, Group Head and Lead Economist. Members include Dr Cuc Thi Kim Nguyen (Senior Economist), Mr Muhammad Firdauz Muttaqin (Economist), Dr Abdurohman (Specialist), Dr Jade Vichyanond (Economist), and Ms Vanne Khut (Associate). AMRO Director Dr Junhong Chang and Chief Economist Dr Hoe Ee Khor also participated in key policy meetings with the authorities. This AMRO Annual Consultation Report on Indonesia for 2018 was peer reviewed by Dr Jae Young Lee (Group Head and Lead Economist) and Ms Laura Grace Gabriella (Researcher); and approved by Dr Hoe Ee Khor, AMRO Chief Economist.",TRUE,normal
2,11,3. The analysis in this Report is based on information available up to 15 August 2018.,TRUE,normal
2,12,"4. By making any designation of or reference to a particular territory or geographical area, or by using the term “member” or “country” in this Report, AMRO does not intend to make any judgements as to the legal or other status of any territory or area.",TRUE,normal
2,13,5. No part of this material may be disclosed unless so approved under the AMRO Agreement.,TRUE,normal
2,14,"6. On behalf of AMRO, the Mission team wishes to thank the Indonesian authorities for their comments on this Report, as well as their excellent meeting arrangements and hospitality during our visit.",TRUE,normal
2,15,NA,TRUE,empty
2,16,NA,TRUE,empty
2,17,NA,TRUE,empty
2,18,"Disclaimer: The findings, interpretations, and conclusion expressed in this Report represent the views of the ASEAN+3 Macroeconomic Research Office (AMRO) and are not necessarily those of its members. Neither AMRO nor its members shall be held responsible for any consequence of the use of the information contained therein.",TRUE,normal
2,19,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,Indonesia Annual Consultation Report 2018,TRUE,page_header
3,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 3 of 37,TRUE,page_footer
3,4,NA,TRUE,empty
3,5,NA,TRUE,empty
3,6,Table of Contents,TRUE,normal
3,7,NA,TRUE,empty
3,8,Executive Summary ................................................................................................................................ 4,TRUE,normal
3,9,A. Recent Developments and Outlook .................................................................................................... 6,TRUE,normal
3,10,A.1. Real Sector Developments and Outlook .................................................................................. 6,TRUE,normal
3,11,A.2. External Sector and the Balance of Payments ........................................................................ 7,TRUE,normal
3,12,A.3. Monetary Condition and Financial Sector .............................................................................. 10,TRUE,normal
3,13,A.4. Fiscal Sector .......................................................................................................................... 11,TRUE,normal
3,14,"B. Risks, Vulnerabilities and Challenges .............................................................................................. 14",TRUE,normal
3,15,C. Policy Discussions and Recommendations...................................................................................... 17,TRUE,normal
3,16,Appendices,TRUE,normal
3,17,1. Selected Figures for Major Economic Indicators....................................................................... 22,TRUE,normal
3,18,2. Selected Economic Indicators for Indonesia ............................................................................. 26,TRUE,normal
3,19,3. Balance of Payments ................................................................................................................ 27,TRUE,normal
3,20,4. Central Government Budget ...................................................................................................... 28,TRUE,normal
3,21,5. Data Adequacy for Surveillance Purposes: a Preliminary Assessment .................................... 29,TRUE,normal
3,22,Annexes: Selected Issues ..................................................................................................................... 30,TRUE,normal
3,23,1. Financial Spillovers and Stress Test to Capital Outflows .......................................................... 30,TRUE,normal
3,24,2. Inter-government Fiscal Relationship in Indonesia ................................................................... 33,TRUE,normal
3,25,3. SOEs in Indonesia: Recent Developments ............................................................................... 36,TRUE,normal
3,26,NA,TRUE,empty
3,27,NA,TRUE,empty
3,28,NA,TRUE,empty
3,29,NA,TRUE,empty
4,1,NA,FALSE,empty
4,2,Indonesia Annual Consultation Report 2018,FALSE,page_header
4,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 4 of 37,FALSE,page_footer
4,4,NA,FALSE,empty
4,5,"Executive Summary The Indonesian economy has been resilient against external headwinds, as growth is expected to remain robust and inflation contained in 2018. Recent policy mix recalibration with the implementation of “pre-emptive, front-loading, and ahead-of-the-curve” measures have focused on maintaining stability while supporting growth. Continued pro-active policy mix recalibration is hence recommended in light of rising external risks going forward. 1. Indonesia’s economic fundamentals remain robust with growth projected to continue picking up in 2018. Real GDP grew at 5.1 percent in 2017, led by public investment and commodity exports, amid stable consumption. Growth momentum continued to gather pace in the first half of 2018, with GDP growth increasing from 5.1 percent in Q1 to 5.3 percent in Q2 2018, respectively, supported by sustained investment and strengthened consumption, the latter reflecting higher real wage growth and increased social assistance disbursement. Real GDP growth is expected to be around 5.2 percent in 2018.",FALSE,normal
4,6,"2. Inflation is expected to be contained within Bank Indonesia’s target band of 3.5±1 percent in 2018. Headline CPI averaged 3.8 percent in 2017, as increases in administered prices were partially offset by lower food inflation. In the absence of strong demand-driven inflationary pressures, both headline and core inflation slowed to 3.2 percent and 2.8 percent, respectively, in July 2018. The authorities have rolled out measures to keep inflation under control in 2018, including stabilizing food prices and keeping subsidized energy prices stable, which has contained the impact of rising global oil prices.",FALSE,normal
4,7,"3. The current account deficit is expected to widen in 2018, driven by imports of raw materials and capital goods, as well as higher oil prices. To contain rising oil imports, the government has strengthened and broadened the implementation of the 20-percent biodiesel mix (B20) policy. Other measures to keep the current account deficit within the threshold of 3 percent of GDP, including the review of imports related to State-Owned- Enterprises (SOEs) and infrastructure projects, are also under consideration.",FALSE,normal
4,8,"4. Reflecting risk aversion towards emerging markets (EMs) stemming from rising uncertainty in the global economy, Indonesian bond and equity markets experienced a sell-off in H1 2018 and the external position came under pressure. In the government bond market, the share of foreign holdings declined from a peak of 40.3 percent in January to about 37.1 percent in July, while the 10-year government bond yield rose to around 7.8 percent, about 150 basis points higher (year-to-date, as of end-July). Net capital outflows also intensified in the stock market in tandem with a significant decline in the Jakarta Composite Index. In response to the latest episode of heightened risk aversion towards EMs, Bank Indonesia raised its key rates four times in May-August 2018, by a total of 125 basis points. Financial markets have responded positively to this “pre-emptive, ahead of the curve, and front-loading” policy action, as foreign investors have returned to Indonesian markets from July 2018. To offset the negative impact of those rate hikes on domestic credit and growth, BI has eased macroprudential policies related to mortgage rules to support the housing market.",FALSE,normal
4,9,"5. The official foreign reserves declined in early 2018 but remain adequate. Amid relatively large capital flow reversal, Bank Indonesia has conducted interventions in both the forex and bond markets to minimize excessive volatility of the rupiah. Against these backdrops, the official foreign reserves declined from a peak of USD130.2 billion at end-2017 to USD118.3 billion in July 2018, which is equivalent to about 7.0 months of imports or 6.9 months of imports and debt service payments.",FALSE,normal
