page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,NA,TRUE,empty
1,4,NA,TRUE,empty
1,5,NA,TRUE,empty
1,6,NA,TRUE,empty
1,7,NA,TRUE,empty
1,8,NA,TRUE,empty
1,9,NA,TRUE,empty
1,10,AMRO Annual Consultation Report,TRUE,normal
1,11,Japan - 2018,TRUE,normal
1,12,NA,TRUE,empty
1,13,NA,TRUE,empty
1,14,NA,TRUE,empty
1,15,NA,TRUE,empty
1,16,NA,TRUE,empty
1,17,NA,TRUE,empty
1,18,NA,TRUE,empty
1,19,NA,TRUE,empty
1,20,NA,TRUE,empty
1,21,NA,TRUE,empty
1,22,NA,TRUE,empty
1,23,NA,TRUE,empty
1,24,NA,TRUE,empty
1,25,NA,TRUE,empty
1,26,NA,TRUE,empty
1,27,NA,TRUE,empty
1,28,NA,TRUE,empty
1,29,NA,TRUE,empty
1,30,NA,TRUE,empty
1,31,The ASEAN+3 Macroeconomic Research Office (AMRO),TRUE,normal
1,32,February 2019,TRUE,normal
1,33,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,Japan Annual Consultation Report 2018,TRUE,page_header
2,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 2 of 62,TRUE,page_footer
2,4,NA,TRUE,empty
2,5,NA,TRUE,empty
2,6,NA,TRUE,empty
2,7,NA,TRUE,empty
2,8,NA,TRUE,empty
2,9,NA,TRUE,empty
2,10,Acknowledgments,TRUE,normal
2,11,NA,TRUE,empty
2,12,"1. This Annual Consultation Report on Japan has been prepared in accordance with the functions of AMRO to monitor, assess and report its members’ macroeconomic status and financial soundness and to identify the relevant risks and vulnerabilities, and assist them in the timely formulation of policy recommendation to mitigate such risks (Article 3(a) and (b) of AMRO Agreement).",TRUE,normal
2,13,"2. This Report is drafted on the basis of the Annual Consultation Visit of AMRO to Japan from 31 October to 9 November 2018 (Article 5 (b) of AMRO Agreement). The AMRO Mission team was headed by Dr. Jae Young Lee, Group Head and Lead Economist. Members include Dr. Jinho Choi (Senior Specialist and Country Economist for Japan), Dr. Xianguo (Jerry) Huang (Back-up Economist), Dr. Wei Sun (Financial Specialist), Ms. Diana del Rosario (Economist), Mr. Kazuo Kobayashi (Technical Assistance Specialist) and Mr. Sophak Duong (Associate). AMRO Director Dr. Junhong Chang and Chief Economist Dr. Hoe Ee Khor also participated in key policy meetings with the authorities. This AMRO Annual Consultation Report on Japan for 2018 was peer reviewed by Dr. Sumio Ishikawa (Group Head and Lead Economist) and Dr. Wenlong Li (Senior Economist); and approved by Dr. Hoe Ee Khor, AMRO Chief Economist.",TRUE,normal
2,14,3. The analysis in this Report is based on information available up to 28 December 2018.,TRUE,normal
2,15,"4. By making any designation of or reference to a particular territory or geographical area, or by using the term “member” or “country” in this Report, AMRO does not intend to make any judgements as to the legal or other status of any territory or area.",TRUE,normal
2,16,5. No part of this material may be disclosed unless so approved under the AMRO Agreement.,TRUE,normal
2,17,"6. On behalf of AMRO, the Mission team wishes to thank the Japanese authorities for their comments on this Report, as well as their excellent meeting arrangements and hospitality during our visit.",TRUE,normal
2,18,"Disclaimer: The findings, interpretations, and conclusion expressed in this Report represent the views of the ASEAN+3 Macroeconomic Research Office (AMRO) and are not necessarily those of its members. Neither AMRO nor its members shall be held responsible for any consequence of the use of the information contained therein.",TRUE,normal
2,19,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,Japan Annual Consultation Report 2018,TRUE,page_header
3,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 3 of 62,TRUE,page_footer
3,4,NA,TRUE,empty
3,5,Table of Contents,TRUE,normal
3,6,Executive Summary .............................................................................................................................. 4,TRUE,normal
3,7,A. Recent Developments and Outlook ................................................................................................ 6,TRUE,normal
3,8,A.1 Real Sector Developments and Outlook ................................................................................... 6,TRUE,normal
3,9,A.2 External Sector and the Balance of Payments ......................................................................... 8,TRUE,normal
3,10,A.3 Monetary Condition and Financial Sector ................................................................................. 9,TRUE,normal
3,11,A.4 Fiscal Sector ........................................................................................................................... 10,TRUE,normal
3,12,"B. Risks, Vulnerabilities and Challenges .......................................................................................... 12",TRUE,normal
3,13,B.1 Near-term Risks to the Macro Outlook ................................................................................... 13,TRUE,normal
3,14,B.2 Longer-term Challenges and Vulnerabilities ........................................................................... 14,TRUE,normal
3,15,C. Policy Discussions and Recommendations ................................................................................ 15,TRUE,normal
3,16,C.1 Restoring Fiscal Sustainability ................................................................................................ 16,TRUE,normal
3,17,C.2 Maintaining Accommodative Monetary Policy ........................................................................ 17,TRUE,normal
3,18,C.3 Prudent Macro-prudential Policy to Safeguard Financial Stability.......................................... 18,TRUE,normal
3,19,C.4 Structural Reforms .................................................................................................................. 19,TRUE,normal
3,20,NA,TRUE,empty
3,21,Appendix 1. Selected Figures for Major Economic Indicators .............................................................. 22,TRUE,normal
3,22,Appendix 2. Selected Economic Indicators for Japan .......................................................................... 26,TRUE,normal
3,23,Appendix 3. Balance of Payments ........................................................................................................ 27,TRUE,normal
3,24,Appendix 4. Statement of Government Operations .............................................................................. 28,TRUE,normal
3,25,Appendix 5. Data Adequacy for Surveillance Purposes: a Preliminary Assessment ........................... 29,TRUE,normal
3,26,NA,TRUE,empty
3,27,Annexes: Selected Issues .................................................................................................................. 30,TRUE,normal
3,28,Annex 1. The Impact of Global Trade Tensions on the Japanese Economy ....................................... 30,TRUE,normal
3,29,Annex 2. Assessing the Effectiveness of the Quantitative and Qualitative Monetary Easing with Yield,TRUE,normal
3,30,Curve Control (‘QQE with YCC’) Policy ................................................................................................ 36,TRUE,normal
3,31,Annex 3. Japanese Banks’ Cross-border Activity with a Focus on ASEAN ......................................... 46,TRUE,normal
3,32,Annex 4. Interconnectedness of Japan’s Mega Banks and Implications on Cross-border Spillovers .. 52,TRUE,normal
3,33,Annex 5. Recent Policy Developments on Foreign Workers to Cope with Labor Shortage ................. 58,TRUE,normal
3,34,NA,TRUE,empty
3,35,NA,TRUE,empty
3,36,NA,TRUE,empty
4,1,NA,FALSE,empty
4,2,Japan Annual Consultation Report 2018,FALSE,page_header
4,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 4 of 62,FALSE,page_footer
4,4,Executive Summary,FALSE,normal
4,5,"1. The Japanese economy continues to grow above its potential, while quarterly GDP fluctuated widely in the first three quarters of 2018. Last year’s highly volatile GDP growth trajectory has been largely driven by one-off factors, such as bad weather and natural disasters. That said, by and large, the economy continues to grow around its potential. Private consumption is picking up, albeit with volatility, supported by increases in household income amid a tight labor market. Business fixed investment remains on a rising trend, backed by strong demand for labor saving types of investment. Exports growth remained positive, while imports continued to see moderate growth. Looking ahead, real GDP is expected to maintain moderate growth of 0.8 percent in FY2018, before easing to 0.7 percent in FY2019.1",FALSE,normal
4,6,"2. Consumer price inflation has continued to rise steadily to 1 percent, broadly approaching the medium-term inflation expectations of households and corporates. However, despite tighter labor market conditions and a positive output gap, core inflation (excluding fresh food and energy) stayed within the 0.2-0.5 percent range during the year. Medium-term inflation expectations hovered around 1 percent. Going forward, consumer price inflation is expected to rise moderately to 0.9 percent in FY2018 and 1 percent (excluding the effects of the consumption tax hike) in FY2019. Given lagged adjustments in wages and goods prices amid low inflation expectations of around 1 percent, it is unlikely that inflation will reach the BOJ’s 2 percent target in the near- to medium-term.",FALSE,normal
4,7,"3. The external position remains strong given the significant current account surplus, supported by large primary income inflows. The current account surplus stayed at between 3 and 4 percent of GDP in the first three quarters of 2018. The goods trade balance remained in surplus but narrowed as imports continued to grow faster than exports amid strong business investment and strengthening private consumption. Capital outflows continued to be driven by residents’ outward investments in search of higher returns amid the sizable current account surplus.",FALSE,normal
