page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 1 of 49,TRUE,page_footer
1,4,NA,TRUE,empty
1,5,NA,TRUE,empty
1,6,AMRO Annual Consultation Report,TRUE,normal
1,7,Korea - 2018,TRUE,normal
1,8,NA,TRUE,empty
1,9,NA,TRUE,empty
1,10,NA,TRUE,empty
1,11,The ASEAN+3 Macroeconomic Research Office (AMRO) December 2018,TRUE,normal
1,12,NA,TRUE,empty
1,13,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,Korea Annual Consultation Report 2018,TRUE,page_header
2,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 2 of 49,TRUE,page_footer
2,4,Acknowledgments,TRUE,normal
2,5,NA,TRUE,empty
2,6,"1. This Annual Consultation Report on Korea has been prepared in accordance with the functions of AMRO to monitor, assess and report its members’ macroeconomic status and financial soundness and to identify relevant risks and vulnerabilities, and assist them in the timely formulation of policy recommendations to mitigate such risks (Article 3(a) and (b) of AMRO Agreement).",TRUE,normal
2,7,"2. This Report is drafted on the basis of the Annual Consultation Visit of AMRO to Korea from 27 August to 5 September 2018 (Article 5 (b) of AMRO Agreement). The AMRO Mission team was headed by Dr Sumio Ishikawa, Group Head and Lead Economist. Members included Ms Wanwisa Vorranikulkij (Country Economist for Korea), Dr Jinho Choi (Back-up Economist for Korea), Mr Yang-Hyeon Yang (Senior Economist), Ms Diana del Rosario (Economist), Mr Xinke Tang (Researcher) and Ms Thanh Ha Truong (Associate). AMRO Director Dr Junhong Chang and Chief Economist Dr Hoe Ee Khor also participated in key policy meetings with the authorities. This AMRO Annual Consultation Report on Korea for 2018 was peer reviewed by Dr Seung-Hyun Hong (Group Head and Lead Specialist) and Mr. Anthony Tan (Senior Economist); and approved by Dr Hoe Ee Khor, AMRO Chief Economist.",TRUE,normal
2,8,3. The analysis in this Report is based on information available up to 31 October 2018.,TRUE,normal
2,9,"4. By making any designation of or reference to a particular territory or geographical area, or by using the term “member” or “country” in this Report, AMRO does not intend to make any judgments as to the legal or other status of any territory or area.",TRUE,normal
2,10,5. No part of this material maybe disclosed unless so approved under the AMRO Agreement.,TRUE,normal
2,11,"6. On behalf of AMRO, the Mission team wishes to thank the Korean authorities for their comments on this Report, as well as their excellent meeting arrangements and hospitality during our visit.",TRUE,normal
2,12,NA,TRUE,empty
2,13,"Disclaimer: The findings, interpretations, and conclusion expressed in this Report represent the views of the ASEAN+3 Macroeconomic Research Office (AMRO) and are not necessarily those of its members. Neither AMRO nor its members shall be held responsible for any consequence of the use of the information contained herein.",TRUE,normal
2,14,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,Korea Annual Consultation Report 2018,TRUE,page_header
3,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 3 of 49,TRUE,page_footer
3,4,NA,TRUE,empty
3,5,Table of Contents Executive Summary ............................................................................................................ 4 A. Recent Developments and Outlook ............................................................................... 6,TRUE,normal
3,6,A.1 Real Sector Developments and Outlook ............................................................................. 6,TRUE,normal
3,7,A.2 External Sector and the Balance of Payments ................................................................... 8,TRUE,normal
3,8,A.3 Monetary Condition and Financial Sector ......................................................................... 11,TRUE,normal
3,9,A.4 Fiscal Sector ...................................................................................................................... 12,TRUE,normal
3,10,"B. Risks, Vulnerabilities and Challenges ........................................................................ 13 B.1 Near-term Risks to the Macroeconomic Outlook .............................................................. 13",TRUE,normal
3,11,B.2 Longer-term Challenges and Vulnerabilities ..................................................................... 16,TRUE,normal
3,12,C. Policy Discussions and Recommendations ............................................................... 17 C.1 Comprehensive Structural Reform to Address the Dichotomy ......................................... 17,TRUE,normal
3,13,C.2 Active Role of Fiscal Policy in Maintaining Growth Momentum and Pursuing Inclusive Growth ........................................................................................................................................... 20,TRUE,normal
3,14,C.3 Maintaining an Accommodative Monetary Policy ............................................................. 21,TRUE,normal
3,15,C.4 Macro-prudential Measures to Safeguard Financial Stability ........................................... 22,TRUE,normal
3,16,Appendix 1. Selected Figures for Major Economic Indicators....................................... 25 Appendix 2.Selected Economic Indicators for Korea ..................................................... 29 Appendix 3.Balance of Payments .................................................................................... 30 Appendix 4.Statement of Central Government Operations ............................................ 31 Appendix 5. Measures to Contain the Build-up of Household Debt And Overheating in the Housing Market ........................................................................................................... 32 Appendix 6.Data Adequacy for Surveillance Purposes: a Preliminary Assessment ... 34 Annexes: Selected Issues ................................................................................................ 35,TRUE,normal
3,17,1. Assessment of Weakening Employment Conditions ........................................................ 35,TRUE,normal
3,18,2. Progress in Corporate Restructuring of the Korean Shipbuilding Industry ....................... 40,TRUE,normal
3,19,3. Drivers of Korea’s Resident and Non-resident Portfolio Investments ............................... 45,TRUE,normal
3,20,NA,TRUE,empty
3,21,NA,TRUE,empty
3,22,NA,TRUE,empty
3,23,NA,TRUE,empty
3,24,NA,TRUE,empty
4,1,NA,FALSE,empty
4,2,Korea Annual Consultation Report 2018,FALSE,page_header
4,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 4 of 49,FALSE,page_footer
4,4,Executive Summary,FALSE,normal
4,5,"1. Korea’s economy is expected to grow at potential. The economy expanded by 2.8 percent in H1 2018, mainly on the back of strong exports, expansionary fiscal spending and continued improvement in private consumption. Meanwhile, private investment slowed down in this period. In the labor market, the employment growth weakened due to corporate restructuring, a declining working-age population, more use of automation and e-commerce, and to a certain extent, higher minimum wages. The economy is expected to grow at 2.7 percent in 2018 and 2.6 percent in 2019.",FALSE,normal
4,6,"2. Headline inflation eased from 1.9 percent in 2017 to 1.4 percent in H1 2018, remaining below the BOK’s 2 percent target, as fresh food, agricultural and public service prices stabilized. Demand-side pressure was dampened by the slowing economy. Inflation expectations hover at around 2.5 percent. Headline inflation is expected to moderate to 1.6 percent in 2018 and rise to 1.9 percent in 2019, driven mainly by supply-side factors.",FALSE,normal
4,7,"3. The economy is resilient to external shocks on the back of sustained current account surpluses and ample international reserves. The current account surplus will remain unchanged, as buoyant ICT and petrochemical exports and rising revenue from Chinese tourists would be offset by growing Korean overseas tourism and strong intermediate imports. The current account surplus is invested abroad in the form of overseas direct investment and rising outward portfolio investment. Despite heightened external uncertainty, Korean financial markets witnessed capital inflows, particularly into its bond markets, and was less volatile than other emerging market economies (EMEs) amid easing geopolitical tension and a strong external position.",FALSE,normal
4,8,"4. The monetary policy stance remains accommodative with the real base rate at around zero percent. Corporate financing inched up owing to a pick-up in bank loans and bond issuance, while household debt growth has moderated, reflecting the effects of tighter macro-prudential measures. Financial institutions are sound, as reflected in the strong financial soundness indicators. Despite a high level of household debt and ongoing corporate restructuring, credit risk to financial institutions remains contained.",FALSE,normal
4,9,"5. In 2018, fiscal policy has been expansionary in support of the economy. The supplementary budget of KRW3.8 trillion and the fiscal stimulus package of KRW4 trillion were announced in addition to the expenditure increase under the 2018 budget. Due to the considerable expansion of total expenditure amid rising revenue collection, the overall fiscal deficit is expected to widen to -1.8 percent of GDP in 2018.",FALSE,normal
4,10,"6. Weaker-than-expected growth in China and the advanced economies, and an escalation of the U.S.-China trade conflict pose downside risks to Korea as Korea’s exports to these countries account for more than half of total exports. The amendment of NAFTA and imposition of U.S. import tariffs on automobile products pose risks to Korea’s automobile industry. In addition, an earlier-than-expected downturn of the global semiconductor super-cycle poses additional downside risks to Korea’s exports and growth.",FALSE,normal
4,11,"7. Risks and vulnerability stemming from high household debt and rising housing prices are limited to certain groups of borrowers and districts. Meanwhile, systemic",FALSE,normal
4,12,NA,FALSE,empty
5,1,NA,FALSE,empty
5,2,Korea Annual Consultation Report 2018,FALSE,page_header
5,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 5 of 49,FALSE,page_footer
5,4,"risk from the debt build-up is not a concern, given that the debt is concentrated in mid- to high-income borrowers. However, low-income borrowers remain vulnerable and may pose a risk to financial institutions in the event of a sharp rise in interest rate and deterioration in the labor market. In the property sector, the housing prices in Seoul had risen rapidly until the government announced additional policy measures to stabilize the housing market in September 2018.",FALSE,normal
