page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,``,TRUE,empty
1,3,NA,TRUE,empty
1,4,NA,TRUE,empty
1,5,NA,TRUE,empty
1,6,NA,TRUE,empty
1,7,NA,TRUE,empty
1,8,NA,TRUE,empty
1,9,NA,TRUE,empty
1,10,AMRO Annual Consultation Report,TRUE,normal
1,11,Thailand - 2018,TRUE,normal
1,12,NA,TRUE,empty
1,13,NA,TRUE,empty
1,14,NA,TRUE,empty
1,15,NA,TRUE,empty
1,16,NA,TRUE,empty
1,17,NA,TRUE,empty
1,18,NA,TRUE,empty
1,19,NA,TRUE,empty
1,20,NA,TRUE,empty
1,21,NA,TRUE,empty
1,22,NA,TRUE,empty
1,23,NA,TRUE,empty
1,24,NA,TRUE,empty
1,25,NA,TRUE,empty
1,26,NA,TRUE,empty
1,27,NA,TRUE,empty
1,28,NA,TRUE,empty
1,29,NA,TRUE,empty
1,30,NA,TRUE,empty
1,31,The ASEAN+3 Macroeconomic Research Office (AMRO),TRUE,normal
1,32,September 2018,TRUE,normal
1,33,NA,TRUE,empty
1,34,2018/SVL/TH/04,TRUE,normal
1,35,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,Page 2 of 48,TRUE,page_footer
2,3,NA,TRUE,empty
2,4,Acknowledgments,TRUE,normal
2,5,"1. This Annual Consultation Report on Thailand has been prepared in accordance with the functions of AMRO to monitor, assess and report its members’ macroeconomic status and financial soundness and to identify the relevant risks and vulnerabilities, and assist them in the timely formulation of policy recommendation to mitigate such risks (Article 3 (a) and (b) of the AMRO Agreement).",TRUE,normal
2,6,"2. This Report is drafted on the basis of the Annual Consultation Visit of AMRO to Thailand from 4-12 June 2018 (Article 5 (b) of AMRO Agreement). The AMRO Mission team was headed by Dr Jae Young Lee, Group Head and Lead Economist. Mission members include Dr Ruperto Pagaura Majuca (Country Economist for Thailand), Ms Wanwisa May Vorranikulkij (Specialist and Back-up Economist for Thailand), Dr Tanyasorn Ekapirak (Researcher and Back-up Economist for Thailand), Mr Yang-Hyeon Yang (Senior Economist), and Ms Aphonethip Luangbouathong (Associate). AMRO Director Dr Junhong Chang and Chief Economist Dr Hoe Ee Khor also participated in key policy meetings with the authorities. This AMRO Annual Consultation Report on Thailand for 2018 was prepared by Dr Jae Young Lee, Dr Ruperto Pagaura Majuca, Ms Wanwisa May Vorranikulkij, Ms Laura Grace Gabriella, Dr Tanyasorn Ekapirak, Mr Yang-Hyeon Yang, Mr Anthony Tan, and Ms Aphonethip Luangbouathong; peer reviewed by Dr Sumio Ishikawa (Group Head and Lead Economist) and Dr Jade Vichyanond (Economist); and approved by Dr Hoe Ee Khor, AMRO Chief Economist.",TRUE,normal
2,7,3. The analysis in this Report is based on information available up to 16 July 2018.,TRUE,normal
2,8,"4. By making any designation of or reference to a particular territory or geographical area, or by using the term “member” or “country” in this Report, AMRO does not intend to make any judgements as to the legal or other status of any territory or area.",TRUE,normal
2,9,5. No part of this material may be disclosed unless so approved under the AMRO Agreement.,TRUE,normal
2,10,"6. On behalf of AMRO, the Mission team wishes to thank the Thailand authorities for their comments on this Report, as well as their excellent meeting arrangements and hospitality during our visit.",TRUE,normal
2,11,NA,TRUE,empty
2,12,NA,TRUE,empty
2,13,NA,TRUE,empty
2,14,"Disclaimer: The findings, interpretations, and conclusion expressed in this Report represent the views of the ASEAN+3 Macroeconomic Research Office (AMRO) and are not necessarily those of its members. Neither AMRO nor its members shall be held responsible for any consequence of the use of the information contained therein.",TRUE,normal
2,15,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,Page 3 of 48,TRUE,page_footer
3,3,NA,TRUE,empty
3,4,Table of Contents,TRUE,normal
3,5,NA,TRUE,empty
3,6,Executive Summary ........................................................................................................ 4,TRUE,normal
3,7,NA,TRUE,empty
3,8,A. Recent Developments and Outlook ............................................................................. 6,TRUE,normal
3,9,A.1 Real Sector ............................................................................................................... 6,TRUE,normal
3,10,A.2 Inflation and Monetary Policy ......................................................................................10,TRUE,normal
3,11,A.3 External Sector .........................................................................................................11,TRUE,normal
3,12,A.4 Financial Sector.........................................................................................................12,TRUE,normal
3,13,A.5 Fiscal Sector .............................................................................................................14,TRUE,normal
3,14,NA,TRUE,empty
3,15,"B. Risks, Vulnerabilities and Challenges .........................................................................16",TRUE,normal
3,16,B.1 Risks to Macroeconomic Outlook .................................................................................16,TRUE,normal
3,17,B.2 Capital Flow Volatility Risks ........................................................................................21,TRUE,normal
3,18,B.3 Financial Sector Risks ................................................................................................21,TRUE,normal
3,19,B.4 Structural Challenges .................................................................................................24,TRUE,normal
3,20,NA,TRUE,empty
3,21,C. Policy Discussions ....................................................................................................25,TRUE,normal
3,22,C.1 Fiscal Role in Infrastructure Investment and Structural Reform........................................25,TRUE,normal
3,23,C.2 Accommodative Monetary Policy is appropriately supportive of growth,TRUE,normal
3,24,and financial stability ........................................................................................................27 C.3 Structural Reforms to Boost Potential Growth ...............................................................29,TRUE,normal
3,25,NA,TRUE,empty
3,26,Boxes,TRUE,normal
3,27,A. Alternative Approach to Estimating the Net Contribution of Key Demand,TRUE,normal
3,28,Components to GDP Growth in Thailand…………………………………………………..….………..7,TRUE,normal
3,29,B. Quantifying the Impact of US-China Trade Conflict on Thailand's Real Sector……….……….17,TRUE,normal
3,30,C. Moving to Thailand 4.0: An Innovation-driven Economy…………………………………………19,TRUE,normal
3,31,NA,TRUE,empty
3,32,Appendices………..……………………………………………………………………………………..30,TRUE,normal
3,33,1. Selected Figures for Major Economic Indicators ..............................................................30,TRUE,normal
3,34,2. Selected Economic Indicators for Thailand .............................................................................. 34,TRUE,normal
3,35,3. Data Adequacy for Surveillance Purposes .....................................................................35,TRUE,normal
3,36,NA,TRUE,empty
3,37,Annexes: Selected Issues..…………………………………………………………………………...36,TRUE,normal
3,38,1. Key Determinants of Thailand's Private Consumption Growth…..............................................36,TRUE,normal
3,39,2. Why has Thailand's Tourism Industry Been Successful? ......................................................... 42,TRUE,normal
3,40,NA,TRUE,empty
3,41,NA,TRUE,empty
4,1,NA,FALSE,empty
4,2,Page 4 of 48,FALSE,page_footer
4,3,NA,FALSE,empty
4,4,Executive Summary,FALSE,normal
4,5,NA,FALSE,empty
