page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,NA,TRUE,empty
1,4,NA,TRUE,empty
1,5,NA,TRUE,empty
1,6,ASEAN+3 Macroeconomic Research Office (AMRO) Page 1 of 40,TRUE,page_footer
1,7,NA,TRUE,empty
1,8,NA,TRUE,empty
1,9,NA,TRUE,empty
1,10,NA,TRUE,empty
1,11,NA,TRUE,empty
1,12,NA,TRUE,empty
1,13,NA,TRUE,empty
1,14,AMRO Annual Consultation Report,TRUE,normal
1,15,Vietnam - 2017,TRUE,normal
1,16,NA,TRUE,empty
1,17,NA,TRUE,empty
1,18,NA,TRUE,empty
1,19,NA,TRUE,empty
1,20,NA,TRUE,empty
1,21,NA,TRUE,empty
1,22,NA,TRUE,empty
1,23,NA,TRUE,empty
1,24,NA,TRUE,empty
1,25,NA,TRUE,empty
1,26,NA,TRUE,empty
1,27,NA,TRUE,empty
1,28,NA,TRUE,empty
1,29,NA,TRUE,empty
1,30,NA,TRUE,empty
1,31,NA,TRUE,empty
1,32,NA,TRUE,empty
1,33,NA,TRUE,empty
1,34,The ASEAN+3 Macroeconomic Research Office (AMRO),TRUE,normal
1,35,April 2018,TRUE,normal
1,36,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,Vietnam Annual Consultation Report 2017,TRUE,normal
2,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 2 of 40,TRUE,page_footer
2,4,NA,TRUE,empty
2,5,Acknowledgements,TRUE,normal
2,6,NA,TRUE,empty
2,7,"1. This Annual Consultation Report on Vietnam – 2017 has been prepared in accordance with the functions of AMRO to monitor, assess and report its members’ macroeconomic status and financial soundness and to identify the relevant risks and vulnerabilities, and assist them in the timely formulation of policy recommendation to mitigate such risks (Article 3(a) and (b) of AMRO Agreement).",TRUE,normal
2,8,"2. This Report is drafted on the basis of the Annual Consultation Visit of AMRO to Vietnam from 28 September to 4 October 2017 (Article 5 (b) of AMRO Agreement). The AMRO Mission team was headed by Dr Seung Hyun (Luke) Hong, Group Head and Lead Specialist. Members include Dr Cuc Thi Kim Nguyen, Senior Economist in charge of Vietnam; Dr Jinho Choi, Specialist and Back-up Economist for Vietnam; Ms Siti Athirah Ali, Economist; Mr Oudom Cheng, Associate and Mr Kazuo Kobayashi, Technical Assistance Specialist. AMRO Chief Economist Dr Hoe Ee Khor and Deputy Director (CMIM, Strategy, and Coordination) Mr Yasuto Watanabe also participated in the Mission. Ms Ha Thanh Truong, AMRO Associate, provided assistance for the preparation of this report. The report was approved by Dr Hoe Ee Khor, AMRO Chief Economist.",TRUE,normal
2,9,3. The analysis in this Report is based on information available up to 31 December 2017.,TRUE,normal
2,10,"4. By making any designation of or reference to a particular territory or geographical area, or by using the term “member” or “country” in this Report, AMRO does not intend to make any judgements as to the legal or other status of any territory or area.",TRUE,normal
2,11,5. No part of this material may be disclosed unless so approved under the AMRO Agreement.,TRUE,normal
2,12,"6. On behalf of AMRO, the Mission team wishes to thank the Vietnamese authorities for their comments on this Report, as well as their excellent meeting arrangements and hospitality during our visit.",TRUE,normal
2,13,NA,TRUE,empty
2,14,NA,TRUE,empty
2,15,NA,TRUE,empty
2,16,NA,TRUE,empty
2,17,"Disclaimer: The findings, interpretations, and conclusion expressed in this Report represent the views of the ASEAN+3 Macroeconomic Research Office (AMRO) and are not necessarily those of its members. Neither AMRO nor its members shall be held responsible for any consequence of the use of the information contained therein.",TRUE,normal
2,18,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,Vietnam Annual Consultation Report 2017,TRUE,normal
3,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 3 of 40,TRUE,page_footer
3,4,NA,TRUE,empty
3,5,Table of Contents,TRUE,normal
3,6,Executive Summary .............................................................................................................. 4,TRUE,normal
3,7,A. Recent Developments and Outlook .................................................................................. 6,TRUE,normal
3,8,A.1 Real Sector ................................................................................................................. 6,TRUE,normal
3,9,A.2 External Sector............................................................................................................ 7,TRUE,normal
3,10,A.3 Monetary Sector and Financial Markets ...................................................................... 9,TRUE,normal
3,11,A.4 Fiscal Sector ............................................................................................................. 12,TRUE,normal
3,12,"B. Risks, Vulnerabilities, and Challenges ............................................................................ 14",TRUE,normal
3,13,C. Policy Discussion and Recommendations ...................................................................... 16,TRUE,normal
3,14,Annex 1. Aging and Implications on Vietnam’s Social Security System ............................... 20,TRUE,normal
3,15,Annex 2. Boosting Productivity for Sustaining Long-term Growth Prospects ....................... 25,TRUE,normal
3,16,Appendices ......................................................................................................................... 31,TRUE,normal
3,17,Appendix 1. Major Economic Indicators for Vietnam ........................................................ 31,TRUE,normal
3,18,Appendix 2. Vietnam’s Selected Economic Indicators and Projections: 2011-2018 ......... 38,TRUE,normal
3,19,Appendix 3. Vietnam’s External Debt Sustainability Framework: 2012-2022 ................... 39,TRUE,normal
3,20,Appendix 4. Data Adequacy for Surveillance Purposes: Preliminary Assessment ........... 40,TRUE,normal
3,21,NA,TRUE,empty
3,22,NA,TRUE,empty
4,1,NA,FALSE,empty
4,2,Vietnam Annual Consultation Report 2017,FALSE,normal
4,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 4 of 40,FALSE,page_footer
4,4,NA,FALSE,empty
4,5,"Executive Summary In the AMRO annual consultation report on Vietnam (2016), AMRO staff were of the view that despite some growth moderation in 2016, the economy of Vietnam had stayed resilient amid negative shocks. Fiscal policy space, meanwhile, continued to narrow in tandem with rising debt, and the banking sector remained vulnerable. In the staff’s assessment, policy adjustments, including greater flexibility in exchange rate management and the adoption of a medium-term fiscal consolidation plan, were in the right direction, and should be continued. In the past year, Vietnam’s economic growth has rebounded strongly with short-term outlook remaining positive, aided by improved global prospects and strengthened domestic demand. The external position has continued to improve, benefiting from strong exports and increased foreign investment, while ongoing consolidation efforts have also led to lower fiscal deficits and debt levels. In light of the recent strong growth momentum, AMRO encourages the authorities to further strengthen their policy focus on financial stability and fiscal sustainability. Ongoing efforts to expedite the non-performing loan resolution and bank recapitalization, including the recent endorsement of a pilot NPL resolution scheme, are welcome. Policy adjustments to tackle medium- to long-term challenges arising from climate and demographic changes, as well as the relative inefficiency of the domestic sector, including state-owned enterprises, are also recommended. Recent Developments and Outlook Economic growth has rebounded in 2017, supported by strong manufacturing exports and strengthened domestic demand, as well as a recovery in agricultural output. Real GDP growth slowed in 2016 to 6.2 percent, as agricultural production was adversely affected by a prolonged drought and increased saltwater intrusion, while mining and quarrying output contracted. The slowdown continued into early 2017 but economic activity has since rebounded strongly, driving real GDP growth to 6.8 percent in 2017. The recent acceleration in growth momentum was driven by increased domestic consumption and investment, and strong exports. Short-term outlook remains positive, with real GDP projected to grow robustly at 6.6 percent in 2018. Despite a pick-up in headline inflation, underlying inflationary pressure remains subdued. Headline CPI averaged 3.5 percent in 2017, up from 2.7 percent a year earlier, driven by higher fuel prices and planned increases in state-administered prices. However, underlying inflationary pressure was more subdued, with core CPI averaging 1.4 percent in 2017, down from 1.8 percent a year earlier. It is projected that headline CPI will increase moderately but remain contained below 4 percent in 2017 and 2018, in line with the government’s target. The external position has continued to improve, benefiting from strong export performance and increased foreign investment. The current account balance is projected to remain in a surplus of about 3.1 percent of GDP in 2017, after a 4.2 percent surplus in 2016. Increased foreign investment inflows, meanwhile, are expected to raise the financial and capital account surplus to about 7.2 percent of GDP in 2017. The Vietnamese dong has been relatively stable recently, following bouts of depreciation in the aftermath of the U.S. election at end-2016 and around the Fed rate hikes in December and March. Against these backdrops, gross international reserves are projected to increase from about USD36.7 billion, as of end- 2016, to around USD51.5 billion at end-2017, which will be sufficient to cover about 2.8 months of imports of goods and services. Credit growth has been buoyant and highly supportive of economic activity. Domestic credit grew at about 19.1 percent, as of November 2017, compared to the target of 18 percent. While bank lending to real estate has slowed, likely in response to a higher regulatory risk",FALSE,normal
4,6,NA,FALSE,empty
5,1,NA,FALSE,empty
5,2,Vietnam Annual Consultation Report 2017,FALSE,normal
5,3,ASEAN+3 Macroeconomic Research Office (AMRO) Page 5 of 40,FALSE,page_footer
5,4,NA,FALSE,empty
