page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,© 2018 International Monetary Fund,TRUE,normal
1,4,IMF Country Report No. 18/32,TRUE,normal
1,5,INDONESIA 2017 ARTICLE IV CONSULTATION—PRESS RELEASE; STAFF REPORT; AND STATEMENT BY THE EXECUTIVE DIRECTOR FOR INDONESIA,TRUE,normal
1,6,"Under Article IV of the IMF’s Articles of Agreement, the IMF holds bilateral discussions",TRUE,normal
1,7,"with members, usually every year. In the context of the 2017 Article IV consultation with",TRUE,normal
1,8,"Indonesia, the following documents have been released and are included in this package:",TRUE,normal
1,9,NA,TRUE,empty
1,10,• A Press Release summarizing the views of the Executive Board as expressed during its,TRUE,normal
1,11,"January 10, 2018 consideration of the staff report that concluded the Article IV",TRUE,normal
1,12,consultation with Indonesia.,TRUE,normal
1,13,• The Staff Report prepared by a staff team of the IMF for the Executive Board’s,TRUE,normal
1,14,"consideration on January 10, 2018, following discussions that ended on",TRUE,normal
1,15,"November 14, 2017, with the officials of Indonesia on economic developments and",TRUE,normal
1,16,"policies. Based on information available at the time of these discussions, the staff",TRUE,normal
1,17,"report was completed on December 21, 2017.",TRUE,normal
1,18,• An Informational Annex prepared by the IMF staff.,TRUE,normal
1,19,• A Statement by the Executive Director for Indonesia.,TRUE,normal
1,20,The documents listed below have been or will be separately released.,TRUE,normal
1,21,Selected Issues,TRUE,normal
1,22,NA,TRUE,empty
1,23,The IMF’s transparency policy allows for the deletion of market-sensitive information and,TRUE,normal
1,24,premature disclosure of the authorities’ policy intentions in published staff reports and,TRUE,normal
1,25,other documents.,TRUE,normal
1,26,NA,TRUE,empty
1,27,Copies of this report are available to the public from,TRUE,normal
1,28,NA,TRUE,empty
1,29,International Monetary Fund • Publication Services,TRUE,normal
1,30,"PO Box 92780 • Washington, D.C. 20090",TRUE,normal
1,31,Telephone: (202) 623-7430 • Fax: (202) 623-7201,TRUE,normal
1,32,E-mail: publications@imf.org Web: http://www.imf.org,TRUE,normal
1,33,Price: $18.00 per printed copy,TRUE,normal
1,34,NA,TRUE,empty
1,35,International Monetary Fund,TRUE,normal
1,36,"Washington, D.C.",TRUE,normal
1,37,February 2018,TRUE,normal
1,38,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,NA,TRUE,empty
2,3,NA,TRUE,empty
2,4,NA,TRUE,empty
2,5,NA,TRUE,empty
2,6,NA,TRUE,empty
2,7,Press Release No. 18/36,TRUE,normal
2,8,FOR IMMEDIATE RELEASE,TRUE,normal
2,9,"February 6, 2018",TRUE,normal
2,10,NA,TRUE,empty
2,11,NA,TRUE,empty
2,12,IMF Executive Board Concludes 2017 Article IV Consultation with Indonesia,TRUE,normal
2,13,NA,TRUE,empty
2,14,"On January 10, 2018, the Executive Board of the International Monetary Fund (IMF) concluded",TRUE,normal
2,15,the Article IV consultation1 with Indonesia.,TRUE,normal
2,16,NA,TRUE,empty
2,17,The Indonesian economy has continued to perform well. Real GDP growth accelerated slightly,TRUE,normal
2,18,"to 5.1 percent in Q3:2017 from 5 percent in 2016 and H1:2017, led by robust exports and fixed",TRUE,normal
2,19,investment. The output gap is estimated at –0.5 percent of GDP. Inflation fell to 3.3 percent in,TRUE,normal
2,20,"November, at the lower half of the official target band (4±1 percent), due to the slightly negative",TRUE,normal
2,21,"output gap and stable food prices, which more than offset the increase in electricity prices earlier",TRUE,normal
2,22,in the year due to improved targeting of subsidies. Core inflation has remained stable at around,TRUE,normal
2,23,3 percent. The current account deficit declined to 1.5 percent of GDP in Q1-Q3:2017 due to,TRUE,normal
2,24,"higher exports. However, credit growth remains slow reflecting both weak demand and banks’",TRUE,normal
2,25,tight lending standards.,TRUE,normal
2,26,NA,TRUE,empty
2,27,"The economic outlook is positive. Real GDP growth is projected at 5.1 percent in 2017, rising",TRUE,normal
2,28,"gradually to 5.6 percent over the medium term, led by robust domestic demand. Inflation is",TRUE,normal
2,29,"projected to remain around 3.5 percent, within the official target range, due to stable food and",TRUE,normal
2,30,"administered prices, and well anchored inflation expectations. The current account deficit is",TRUE,normal
2,31,expected to remain contained at near 2 percent of GDP due to firm commodity prices and robust,TRUE,normal
2,32,"exports. Risks to the outlook remain tilted to the downside, including spikes in global financial",TRUE,normal
2,33,"volatility, uncertainty around U.S. economic policies, lower growth in China, and geopolitical",TRUE,normal
2,34,tensions. Global growth and commodity prices could surprise on the upside. Domestic risks,TRUE,normal
2,35,include tax revenue shortfalls and larger fiscal financing needs due to higher interest rates.,TRUE,normal
2,36,NA,TRUE,empty
2,37,"1 Under Article IV of the IMF's Articles of Agreement, the IMF holds bilateral discussions with members, usually every year. A staff team visits the country, collects economic and financial information, and discusses with officials",TRUE,normal
2,38,"the country's economic developments and policies. On return to headquarters, the staff prepares a report, which",TRUE,normal
2,39,forms the basis for discussion by the Executive Board.,TRUE,normal
2,40,International Monetary Fund,TRUE,normal
2,41,"700 19th Street, NW",TRUE,normal
2,42,"Washington, D. C. 20431 USA",TRUE,normal
2,43,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,NA,TRUE,empty
3,3,Executive Board Assessment2,TRUE,normal
3,4,NA,TRUE,empty
3,5,"Executive Directors commended the authorities for the sound economic performance, including",TRUE,normal
3,6,"stable economic growth, moderate inflation, and a modest current account deficit, which have",TRUE,normal
3,7,"contained systemic risks. They noted that the economic outlook is favorable, but encouraged the",TRUE,normal
3,8,"authorities to stay vigilant against risks, including from volatile capital flows. Directors stressed",TRUE,normal
3,9,that achieving higher potential growth would help create jobs for the young and growing labor,TRUE,normal
3,10,force. The priority should be on a self-reinforcing and well-sequenced fiscal-structural reform,TRUE,normal
3,11,package that mobilizes revenues to finance development spending and supports structural,TRUE,normal
3,12,"reforms in the product, labor, and financial markets.",TRUE,normal
3,13,NA,TRUE,empty
3,14,Directors welcomed the focus of the near-term policy mix on supporting growth while,TRUE,normal
3,15,preserving stability. They noted that fiscal adjustment in 2018 should be gradual to protect,TRUE,normal
3,16,growth while rebuilding fiscal buffers. They agreed that the current stance of monetary policy is,TRUE,normal
3,17,"appropriate for targeting price stability and supporting growth, and recommended further",TRUE,normal
3,18,enhancing monetary transmission. Directors welcomed the authorities’ commitment to maintain,TRUE,normal
3,19,exchange rate flexibility and to limit foreign exchange intervention to preventing disorderly,TRUE,normal
3,20,market conditions.,TRUE,normal
3,21,NA,TRUE,empty
3,22,Directors commended the authorities’ efforts to rebalance public expenditure toward priority,TRUE,normal
3,23,sectors. They encouraged early implementation of a medium-term revenue strategy to finance,TRUE,normal
3,24,"growth-enhancing priority spending and structural reforms, as well as reduce the heavy reliance",TRUE,normal
3,25,on external financing. This strategy should include frontloaded tax policy and administration,TRUE,normal
3,26,reforms. Short-term measures to arrest the fall in the tax ratio should also be considered.,TRUE,normal
3,27,NA,TRUE,empty
3,28,Directors welcomed the progress achieved in boosting infrastructure investment. They stressed,TRUE,normal
3,29,that the pace of infrastructure development should be aligned with available financing and the,TRUE,normal
3,30,economy’s absorptive capacity. Priority should be given to financing infrastructure with,TRUE,normal
3,31,"domestic revenue, as well as greater private sector participation, including foreign direct",TRUE,normal
3,32,investment. This would limit the buildup of corporate external debt and contingent liabilities,TRUE,normal
3,33,from state-owned enterprises (SOEs). Financial deepening through developing a national,TRUE,normal
3,34,strategy for capital market development would also support infrastructure investment.,TRUE,normal
3,35,NA,TRUE,empty
3,36,Directors commended the authorities’ efforts to streamline regulations. They noted that future,TRUE,normal
3,37,"efforts should target areas with the largest potential gains for the economy, such as reducing state",TRUE,normal
3,38,"control, rationalizing the role of SOEs, and greater coordination of regulations among ministries",TRUE,normal
3,39,and regional governments.,TRUE,normal
3,40,NA,TRUE,empty
3,41,Directors emphasized that improving education and easing labor market regulations would,TRUE,normal
3,42,support employment. They underscored the need to raise the level and quality of education,TRUE,normal
3,43,"spending, streamline job protection regulations, and improve vocational training and job",TRUE,normal
3,44,placement services. Enhancing female labor participation would also be important.,TRUE,normal
3,45,NA,TRUE,empty
