page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,© 2018 International Monetary Fund,TRUE,normal
1,4,IMF Country Report No. 18/333,TRUE,normal
1,5,JAPAN 2018 ARTICLE IV CONSULTATION—PRESS RELEASE; STAFF REPORT; AND STATEMENT BY THE EXECUTIVE DIRECTOR FOR JAPAN,TRUE,normal
1,6,"Under Article IV of the IMF’s Articles of Agreement, the IMF holds bilateral discussions",TRUE,normal
1,7,"with members, usually every year. In the context of the 2018 Article IV consultation with",TRUE,normal
1,8,"Japan, the following documents have been released and are included in this package:",TRUE,normal
1,9,NA,TRUE,empty
1,10,"• A Press Release summarizing the views of the Executive Board as expressed during its November 21, 2018 consideration of the staff report that concluded the Article IV",TRUE,normal
1,11,consultation with Japan.,TRUE,normal
1,12,"• The Staff Report prepared by a staff team of the IMF for the Executive Board’s consideration on November 21, 2018, following discussions that ended on",TRUE,normal
1,13,"October 4, 2018, with the officials of Japan on economic developments and policies.",TRUE,normal
1,14,"Based on information available at the time of these discussions, the staff report was",TRUE,normal
1,15,"completed on November 6, 2018.",TRUE,normal
1,16,• An Informational Annex prepared by the IMF staff.,TRUE,normal
1,17,• A Staff Statement updating information on recent developments.,TRUE,normal
1,18,• A Statement by the Executive Director for Japan.,TRUE,normal
1,19,The document listed below have been or will be separately released.,TRUE,normal
1,20,Selected Issues,TRUE,normal
1,21,NA,TRUE,empty
1,22,The IMF’s transparency policy allows for the deletion of market-sensitive information and,TRUE,normal
1,23,premature disclosure of the authorities’ policy intentions in published staff reports and,TRUE,normal
1,24,other documents.,TRUE,normal
1,25,NA,TRUE,empty
1,26,Copies of this report are available to the public from,TRUE,normal
1,27,NA,TRUE,empty
1,28,International Monetary Fund • Publication Services,TRUE,normal
1,29,"PO Box 92780 • Washington, D.C. 20090",TRUE,normal
1,30,Telephone: (202) 623-7430 • Fax: (202) 623-7201,TRUE,normal
1,31,E-mail: publications@imf.org Web: http://www.imf.org,TRUE,normal
1,32,Price: $18.00 per printed copy,TRUE,normal
1,33,NA,TRUE,empty
1,34,International Monetary Fund,TRUE,normal
1,35,"Washington, D.C.",TRUE,normal
1,36,November 2018,TRUE,normal
1,37,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,NA,TRUE,empty
2,3,NA,TRUE,empty
2,4,"Press Release No. 18/442 FOR IMMEDIATE RELEASE November 28, 2018",TRUE,normal
2,5,"IMF Executive Board Concludes 2018 Article IV Consultation with Japan On November 21, 2018, the Executive Board of the International Monetary Fund (IMF) concluded the Article IV consultation1 with Japan. The Japanese economy is growing above its estimated potential. After a temporary soft patch early in the year, domestic demand recovered in the second quarter. With external demand expected to remain supportive, and despite recent natural disasters, real GDP growth is projected to remain above trend in 2018 at 1.1 percent. Headline and core inflation have gained momentum in recent months on the back of higher energy prices but remain well below Bank of Japan’s (BoJ) two percent inflation target. The current account surplus increased marginally in 2017, due to a stronger income balance, but is expected to shrink by the end of 2018 due to smaller goods trade and income balances. The real effective exchange rate appreciated slightly in the first nine months of 2018 relative to end- 2017. As with the 2017 external sector assessment, the projected 2018 current account balance is preliminarily assessed as in line with the current account level consistent with fundamentals and desirable policies. Underlying growth is expected to remain solid, notwithstanding the scheduled increase in the consumption tax rate in October 2019. However, absent mitigating fiscal measures, the consumption tax increase could lead to volatility in private consumption and investment. Meanwhile, monetary policy is expected to remain accommodative and support favorable financial conditions. Over the medium term, growth is projected to moderate and the output gap close. Following a consumption tax-induced spike in 2020, inflation will rise over the medium term, but likely remain below the BoJ’s target.",TRUE,normal
2,6,"1 Under Article IV of the IMF's Articles of Agreement, the IMF holds bilateral discussions with members, usually every year. A staff team visits the country, collects economic and financial information, and discusses with officials the country's economic developments and policies. On return to headquarters, the staff prepares a report, which forms the basis for discussion by the Executive Board.",TRUE,normal
2,7,NA,TRUE,empty
2,8,"International Monetary Fund 700 19th Street, NW Washington, D. C. 20431 USA",TRUE,normal
2,9,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,"Executive Board Assessment2 Executive Directors welcomed Japan’s remarkable economic growth performance, especially in per capita terms, and the prospect of continued above-potential growth in the near term. Directors nevertheless noted that inflation remains below target and that downside risks have risen, notably from the upcoming consumption tax rate increase and deteriorating global conditions. Moreover, intensifying demographic headwinds continue to pose challenges. Directors emphasized the need to reinvigorate the policies of “Abenomics” to achieve sustained high growth, durable reflation, and public debt sustainability. Directors generally underscored the importance of maintaining a neutral fiscal stance to support near-term growth and reflation. They welcomed the authorities’ plan to implement temporary measures to alleviate the adverse impact of the scheduled increase in the consumption tax rate, accompanied by clear communication to the public. For the medium term, Directors saw merit in developing a well-specified fiscal framework, based on realistic assumptions, to reduce policy uncertainty and anchor a gradual consolidation path toward debt sustainability while addressing demographic challenges. While an independent fiscal institution could be helpful in this regard, some Directors saw scope to achieve these objectives within the existing institutional arrangements. Directors welcomed the authorities’ ambitious structural reform agenda aimed at lifting potential growth. They stressed the importance of strong government commitment to mutually-supportive reforms, with priority given to labor market reforms to enhance labor supply including from female, older, and foreign workers. Directors recommended further efforts to eliminate tax and social security disincentives to full-time and regular work, reduce the gender wage gap, and increase the availability of childcare and nursing facilities. They also encouraged the authorities to further deregulate product and services markets, facilitate entry and exit of firms, promote small- and medium-sized enterprises, and deepen corporate governance reform. Directors agreed that monetary policy should remain accommodative, possibly for an extended period to successfully reflate the economy, while carefully monitoring and mitigating side- effects. They stressed that effective communication and forward guidance would help reduce market volatility and guide inflation expectations. Directors recognized the challenges facing the financial sector, especially from demographic pressures and low interest rates. They welcomed the progress made in implementing the 2017 FSAP recommendations, in particular, the new more forward-looking supervisory framework.",TRUE,normal
3,3,"2 At the conclusion of the discussion, the Managing Director, as Chairman of the Board, summarizes the views of Executive Directors, and this summary is transmitted to the country's authorities. An explanation of any qualifiers used in summings up can be found here: http://www.imf.org/external/np/sec/misc/qualifiers.htm.",TRUE,normal
3,4,NA,TRUE,empty
4,1,NA,TRUE,empty
4,2,"Directors highlighted the importance of enhancing risk management, financial oversight, and the macroprudential framework. They welcomed the authorities’ close engagement with regional financial institutions to help adapt their business models to demographic trends. Directors also saw priority in facilitating financial institutions’ use of Fintech and strengthening crypto-asset oversight. Directors took note of the staff’s assessment that Japan’s 2018 external position and real exchange rate are projected to be broadly consistent with fundamentals and desirable policies. They agreed that a credible fiscal consolidation plan combined with bolder structural reforms are needed to maintain external balance over the medium term. Directors also noted that advancing multilateralism would help mitigate inward spillovers from heightened trade tensions, and appreciated Japan’s leadership role on this front. Directors commended the authorities for volunteering to participate in the Fund’s initiative to assess efforts to address supply-side of corruption in Japan’s Article IV consultation. They looked forward to continued progress in enforcing foreign bribery laws.",TRUE,normal
4,3,NA,TRUE,empty
4,4,NA,TRUE,empty
5,1,NA,TRUE,empty
