page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,© 2018 International Monetary Fund,TRUE,normal
1,4,IMF Country Report No. 18/41,TRUE,normal
1,5,REPUBLIC OF KOREA SELECTED ISSUES,TRUE,normal
1,6,This Selected Issues paper on Republic of Korea was prepared by a staff team of the,TRUE,normal
1,7,International Monetary Fund as background documentation for the periodic consultation,TRUE,normal
1,8,with the member country. It is based on the information available at the time it was,TRUE,normal
1,9,"completed on December 27, 2017.",TRUE,normal
1,10,NA,TRUE,empty
1,11,NA,TRUE,empty
1,12,NA,TRUE,empty
1,13,Copies of this report are available to the public from,TRUE,normal
1,14,NA,TRUE,empty
1,15,International Monetary Fund • Publication Services,TRUE,normal
1,16,"PO Box 92780 • Washington, D.C. 20090",TRUE,normal
1,17,Telephone: (202) 623-7430 • Fax: (202) 623-7201,TRUE,normal
1,18,E-mail: publications@imf.org Web: http://www.imf.org,TRUE,normal
1,19,Price: $18.00 per printed copy,TRUE,normal
1,20,NA,TRUE,empty
1,21,NA,TRUE,empty
1,22,International Monetary Fund,TRUE,normal
1,23,"Washington, D.C.",TRUE,normal
1,24,February 2018,TRUE,normal
1,25,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,NA,TRUE,empty
2,3,REPUBLIC OF KOREA SELECTED ISSUES,TRUE,normal
2,4,Approved By Asia and Pacific Department,TRUE,normal
2,5,"Prepared by a team comprising Cristina Arbelaez, R. Sean Craig, Tarhan Feyzioglu, Dongyeol Lee, Johanna Schauer, Edda Zoli (all APD), and Douglas Laxton, Susanna Mursula, Hou Wang, and Jiaxiong Yao (all RES). The team was led by Edda Zoli (APD).",TRUE,normal
2,6,NA,TRUE,empty
2,7,CONTENTS ENHANCING THE MONETARY POLICY FRAMEWORK IN KOREA ____________________ 4,TRUE,normal
2,8,A. Experience with Inflation Targeting in Korea __________________________________________ 4,TRUE,normal
2,9,B. Strengthening the Credibility of the Inflation Target __________________________________ 5,TRUE,normal
2,10,C. Challenges Facing Korean Monetary Policy ___________________________________________ 6,TRUE,normal
2,11,D. Integrating Model-based Policy Analysis into Monetary Policy Decisions ____________ 8,TRUE,normal
2,12,E. Illustrative Simulation of Alternative Monetary Policy Scenarios ______________________ 9,TRUE,normal
2,13,F. Conclusions ___________________________________________________________________________ 13,TRUE,normal
2,14,References ______________________________________________________________________________ 14 FIGURES 1. Model Projections from 2013 for Two Reaction Functions Compared to History ____ 10 2. Actual and Model Outcomes with Historical Shocks Added to the Scenario _________ 11 3. Downside Scenario with Fiscal Backstop _____________________________________________ 12,TRUE,normal
2,15,A NEW STRATEGY FOR KOREA’S FISCAL POLICY IN A LOW-GROWTH,TRUE,normal
2,16,ENVIRONMENT ________________________________________________________________________ 16,TRUE,normal
2,17,A. Introduction __________________________________________________________________________ 16,TRUE,normal
2,18,B. Assessing Korea’s Potential Output with an Extended Multivariate Filter ____________ 17,TRUE,normal
2,19,C. The Fiscal Impact of Aging: Implications for Debt Sustainability _____________________ 19,TRUE,normal
2,20,"D. Promoting Sustained, Inclusive and More Balanced Growth _________________________ 24",TRUE,normal
2,21,E. Conclusions ___________________________________________________________________________ 30,TRUE,normal
2,22,References ______________________________________________________________________________ 31 FIGURES 1. Increased Age-Related Spending with Unchanged Revenues ________________________ 21 2. Increased Age-Related Spending Financed by Higher Debt and Higher Revenues __ 23,TRUE,normal
2,23,NA,TRUE,empty
2,24,"December 27, 2017",TRUE,normal
2,25,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,REPUBLIC OF KOREA,TRUE,normal
3,3,2 INTERNATIONAL MONETARY FUND,TRUE,page_footer
3,4,"3. Permanent Increase in Social Safety Net Spending Financed by Difference Tax Instruments _ 25 4. Permanent Decrease in Saving Rate ___________________________________________________________ 26 5. Combined Effect of Policies on Output, Consumption and the Current Account ______________ 28 6. Combined Effect of Policies on Fiscal Variables _______________________________________________ 29 TABLES 1. Average Annual Potential Growth _____________________________________________________________ 19 2. Pension and Healthcare Spending Projections ________________________________________________ 19",TRUE,normal
3,5,KOREA'S INTEGRATION INTO GLOBAL VALUE CHAINS AND EXTERNAL BALANCE ________ 34,TRUE,normal
3,6,A. Korea’s Integration into GVCs _________________________________________________________________ 34,TRUE,normal
3,7,B. Insights from the Literature on GVC Integration ______________________________________________ 36,TRUE,normal
3,8,C. Channels through which GVC Integration Impacts Korea _____________________________________ 37,TRUE,normal
3,9,D. Implications of GVC Integration for Korea’s Current Account _________________________________ 39,TRUE,normal
3,10,References _______________________________________________________________________________________ 42,TRUE,normal
3,11,MACROPRUDENTIAL POLICY AND HIGH HOUSEHOLD DEBT _______________________________ 43,TRUE,normal
3,12,A. Policy Challenges Posed by High Household Debt ____________________________________________ 43,TRUE,normal
3,13,B. The Financial Cycle and Risks from High Household Debt ____________________________________ 44,TRUE,normal
3,14,C. Lessons from Other Countries with High Household Debt ____________________________________ 45,TRUE,normal
3,15,D. Role of Macroprudential Policies ______________________________________________________________ 46 TABLES,TRUE,normal
3,16,1. Results of Interest Rate Stress Tests of Bank Capital Adequacy _______________________________ 45 2. Main Macroprudential Policy Actions _________________________________________________________ 46,TRUE,normal
3,17,LABOR MARKET DUALITY IN KOREA __________________________________________________________ 48,TRUE,normal
3,18,A. Definition and Impact of Duality ______________________________________________________________ 48,TRUE,normal
3,19,B. Development of Labor Market Duality in Korea _______________________________________________ 49,TRUE,normal
3,20,C. Impact of Labor Market Duality in Korea ______________________________________________________ 51,TRUE,normal
3,21,D. Drivers of Labor Market Duality in Korea ______________________________________________________ 52,TRUE,normal
3,22,E. Policies to Address Market Duality in Korea ___________________________________________________ 55,TRUE,normal
3,23,F. Simulation of Flexicurity Policies _______________________________________________________________ 58,TRUE,normal
3,24,G. Conclusion ____________________________________________________________________________________ 61,TRUE,normal
3,25,References _______________________________________________________________________________________ 62 BOXES 1. Key Labor Market Reforms ____________________________________________________________________ 54,TRUE,normal
3,26,NA,TRUE,empty
4,1,NA,TRUE,empty
4,2,REPUBLIC OF KOREA,TRUE,normal
4,3,INTERNATIONAL MONETARY FUND 3,TRUE,page_footer
4,4,2. Flexicurity: Country Examples and Best Practices ______________________________________________ 57 TABLES 1. Flow Probabilities by Employments Status (2013-2014) _______________________________________ 52 2. Policy Experiments _____________________________________________________________________________ 59,TRUE,normal
4,5,YOUTH (UN)EMPLOYMENT IN KOREA—RECENT TRENDS AND DRIVERS __________________ 66,TRUE,normal
4,6,A. The Impact of Youth (Un)Employment ________________________________________________________ 66,TRUE,sectionheader
4,7,B. Trend and Current State of Korea’s Youth (Un)Employment __________________________________ 67,TRUE,sectionheader
4,8,C. Drivers of Youth (Un)Employment _____________________________________________________________ 69,TRUE,sectionheader
4,9,D. Best Practices _________________________________________________________________________________ 78,TRUE,sectionheader
4,10,E. Policy Implications _____________________________________________________________________________ 81,TRUE,sectionheader
4,11,References _______________________________________________________________________________________ 83 BOX 1. Key Policies on Youth (Un)employment _______________________________________________________ 77,TRUE,normal
4,12,THE NEW MINIMUM WAGE POLICY IN KOREA _______________________________________________ 88,TRUE,normal
4,13,A. Recent Developments _________________________________________________________________________ 88,TRUE,sectionheader
4,14,B. The impact of a Minimum Wage Hike—General Considerations ______________________________ 89,TRUE,sectionheader
4,15,C. The Case of Korea _____________________________________________________________________________ 92,TRUE,sectionheader
4,16,References ______________________________________________________________________________________ 108 BOX 1. An Example of the Impact of Minimum Wage Increases on Employment: France _____________ 90,TRUE,normal
4,17,RECENT TRENDS IN FINANCIAL PERFORMANCE AND INVESTMENT OF KOREA’S LARGEST,TRUE,normal
4,18,COMPANIES ____________________________________________________________________________________ 110,TRUE,normal
4,19,A. Introduction __________________________________________________________________________________ 110,TRUE,sectionheader
4,20,B. Data __________________________________________________________________________________________ 110,TRUE,sectionheader
4,21,C. Stylized Facts _________________________________________________________________________________ 111,TRUE,sectionheader
4,22,D. Determinants of Investment Growth _________________________________________________________ 114,TRUE,sectionheader
4,23,E. Conclusions ___________________________________________________________________________________ 115,TRUE,sectionheader
4,24,References ______________________________________________________________________________________ 117,TRUE,normal
4,25,NA,TRUE,empty
