page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,© 2018 International Monetary Fund,TRUE,normal
1,4,IMF Country Report No. 18/143,TRUE,normal
1,5,THAILAND 2018 ARTICLE IV CONSULTATION—PRESS RELEASE; STAFF REPORT; AND STATEMENT BY THE EXECUTIVE DIRECTOR FOR THAILAND,TRUE,normal
1,6,"Under Article IV of the IMF’s Articles of Agreement, the IMF holds bilateral discussions",TRUE,normal
1,7,"with members, usually every year. In the context of the 2017 Article IV consultation with",TRUE,normal
1,8,"Thailand, the following documents have been released and are included in this package:",TRUE,normal
1,9,NA,TRUE,empty
1,10,• A Press Release summarizing the views of the Executive Board as expressed during its,TRUE,normal
1,11,"May 21, 2018 consideration of the staff report that concluded the Article IV",TRUE,normal
1,12,consultation with Thailand.,TRUE,normal
1,13,• The Staff Report prepared by a staff team of the IMF for the Executive Board’s,TRUE,normal
1,14,"consideration on May 21, 2018, following discussions that ended on March 20, 2018,",TRUE,normal
1,15,with the officials of Thailand on economic developments and policies. Based on,TRUE,normal
1,16,"information available at the time of these discussions, the staff report was completed",TRUE,normal
1,17,"on May 3, 2018.",TRUE,normal
1,18,• An Informational Annex prepared by the IMF staff.,TRUE,normal
1,19,• A Statement by the Executive Director for Thailand.,TRUE,normal
1,20,The documents listed below have been or will be separately released.,TRUE,normal
1,21,Selected Issues,TRUE,normal
1,22,NA,TRUE,empty
1,23,The IMF’s transparency policy allows for the deletion of market-sensitive information and,TRUE,normal
1,24,premature disclosure of the authorities’ policy intentions in published staff reports and,TRUE,normal
1,25,other documents.,TRUE,normal
1,26,NA,TRUE,empty
1,27,Copies of this report are available to the public from,TRUE,normal
1,28,NA,TRUE,empty
1,29,International Monetary Fund • Publication Services,TRUE,normal
1,30,"PO Box 92780 • Washington, D.C. 20090",TRUE,normal
1,31,Telephone: (202) 623-7430 • Fax: (202) 623-7201,TRUE,normal
1,32,E-mail: publications@imf.org Web: http://www.imf.org,TRUE,normal
1,33,Price: $18.00 per printed copy,TRUE,normal
1,34,NA,TRUE,empty
1,35,International Monetary Fund,TRUE,normal
1,36,"Washington, D.C.",TRUE,normal
1,37,June 2018,TRUE,garbage
1,38,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,NA,TRUE,empty
2,3,NA,TRUE,empty
2,4,NA,TRUE,empty
2,5,Press Release No. 18/215,TRUE,normal
2,6,FOR IMMEDIATE RELEASE,TRUE,normal
2,7,"June 4, 2018",TRUE,garbage
2,8,NA,TRUE,empty
2,9,IMF Executive Board Concludes 2018 Article IV Consultation with Thailand,TRUE,normal
2,10,NA,TRUE,empty
2,11,"On May 21, 2018, the Executive Board of the International Monetary Fund (IMF) concluded the",TRUE,normal
2,12,Article IV consultation1 with Thailand.,TRUE,normal
2,13,NA,TRUE,empty
2,14,A cyclical recovery is underway in Thailand but has yet to become broad based. GDP growth is,TRUE,normal
2,15,"estimated at 3.9 percent in 2017, boosted by strong tourism services and manufacturing exports.",TRUE,normal
2,16,"Domestic demand remained sluggish amid structural challenges, and export gains failed to",TRUE,normal
2,17,trickle down to household incomes and investments in other sectors. Headline inflation averaged,TRUE,normal
2,18,"0.7 percent, below the target band for the third year in a row, reflecting low food prices and",TRUE,normal
2,19,"weak core inflation. The current account surplus remained large, at about 10.6 percent of GDP.",TRUE,normal
2,20,Financial system stability continued to strengthen.,TRUE,normal
2,21,NA,TRUE,empty
2,22,"The growth momentum is expected to continue in 2018 and 2019, supported by sustained export",TRUE,normal
2,23,"dynamism. A rebound in public investment, in line with the government’s infrastructure plans,",TRUE,normal
2,24,is expected to crowd in private investment. The current account surplus is projected to gradually,TRUE,normal
2,25,"decline over the medium term, as investor and consumer confidence strengthen, and domestic",TRUE,normal
2,26,demand gathers speed. Inflation is expected to remain below the 2.5 percent target. Risks to the,TRUE,normal
2,27,"near-term outlook arise from potential weaknesses in the external environment, including",TRUE,normal
2,28,"protectionism, as well as domestic structural challenges. On the other hand, a stronger than",TRUE,normal
2,29,"projected rebound in investment provides an upside risk to growth, and greater dynamism in",TRUE,normal
2,30,regional trade could further boost Thai exports.,TRUE,normal
2,31,NA,TRUE,empty
2,32,Executive Board Assessment2,TRUE,normal
2,33,NA,TRUE,empty
2,34,"Executive Directors welcomed Thailand’s improving economic prospects, which are supported",TRUE,normal
2,35,"by strong global and regional trade. Directors noted, however, that the recovery has yet to",TRUE,normal
2,36,"become broad-based, as structural challenges continue to be a drag on domestic demand, while",TRUE,normal
2,37,"1 Under Article IV of the IMF's Articles of Agreement, the IMF holds bilateral discussions with members, usually every year. A staff team visits the country, collects economic and financial information, and discusses with officials the country's economic developments and policies. On return to headquarters, the staff prepares a report, which forms the basis for discussion by the Executive Board.",TRUE,normal
2,38,"2 At the conclusion of the discussion, the Managing Director, as Chairman of the Board, summarizes the views of",TRUE,normal
2,39,"Executive Directors, and this summary is transmitted to the country's authorities. An explanation of any qualifiers used in",TRUE,normal
2,40,summings up can be found here: http://www.imf.org/external/np/sec/misc/qualifiers.htm.,TRUE,normal
2,41,International Monetary Fund,TRUE,normal
2,42,"700 19th Street, NW",TRUE,normal
2,43,"Washington, D. C. 20431 USA",TRUE,normal
2,44,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,2,TRUE,garbage
3,3,"inflation dynamics remain weak. Against this backdrop, they encouraged the authorities to",TRUE,normal
3,4,calibrate the policy mix and use available space to support domestic demand and external,TRUE,normal
3,5,"rebalancing, and implement structural reforms to boost growth potential.",TRUE,normal
3,6,NA,TRUE,empty
3,7,"Directors welcomed the enactment of the fiscal responsibility law, and ongoing efforts to anchor",TRUE,normal
3,8,"fiscal policy in a medium-term fiscal framework, which are key to safeguarding fiscal",TRUE,normal
3,9,sustainability. They agreed that scaling up macro-critical infrastructure projects would crowd in,TRUE,normal
3,10,"private investment, stimulate domestic demand, and facilitate external rebalancing. Directors",TRUE,normal
3,11,emphasized the importance of fiscal reforms aimed at strengthening public investment,TRUE,normal
3,12,implementation capacity and better targeting of social expenditures to boost demand on a,TRUE,normal
3,13,sustained basis. They concurred that additional growth-friendly revenue mobilization will be,TRUE,normal
3,14,"needed in the medium to long term, as part of a broader strategy to prepare for aging-related",TRUE,normal
3,15,expenditure pressures.,TRUE,normal
3,16,NA,TRUE,empty
3,17,"A number of Directors agreed that monetary easing, within a broader expansionary policy mix,",TRUE,normal
3,18,"could help steer inflation back to target, with macroprudential policy used to address financial",TRUE,normal
3,19,stability concerns. A number of other Directors considered the current monetary stance to be,TRUE,normal
3,20,"sufficiently accommodative, and that monetary policy should balance support for inflation",TRUE,normal
3,21,against financial stability risks. Directors noted that enhanced communication would improve,TRUE,normal
3,22,the effectiveness of monetary policy transmission by strengthening the expectations channel.,TRUE,normal
3,23,"They emphasized the importance of exchange rate flexibility, with intervention limited to",TRUE,normal
3,24,avoiding disorderly market conditions. A number of Directors encouraged publication of the,TRUE,normal
3,25,intervention data with appropriate lags to improve transparency and communication. A few,TRUE,normal
3,26,"other Directors, noting the potential sensitivity of the data, supported a more cautious approach.",TRUE,normal
3,27,NA,TRUE,empty
3,28,"Directors agreed that the financial system remains sound, and commended the authorities for",TRUE,normal
3,29,measures taken to strengthen financial system stability. While not expected to pose systemic,TRUE,normal
3,30,"risks, they called for close monitoring of vulnerabilities in the nonbank financial sector.",TRUE,normal
3,31,Directors broadly concurred that strengthening macroprudential policy should help ensure,TRUE,normal
3,32,"continued containment of systemic risks. They looked forward to the forthcoming FSAP, which",TRUE,normal
3,33,will conduct a more comprehensive assessment of risks in the financial sector.,TRUE,normal
3,34,NA,TRUE,empty
3,35,Directors called for a comprehensive package of reforms to boost potential growth and improve,TRUE,normal
3,36,inclusiveness. They underscored the need to increase productivity and address the impact of,TRUE,normal
3,37,"aging through pension reform, human capital development, higher female labor force",TRUE,normal
3,38,"participation, and improvements in the business environment. Directors welcomed the",TRUE,normal
3,39,authorities’ plans to expedite investment in infrastructure and logistics as part of a broader,TRUE,normal
3,40,strategy to deepen economic integration within the ASEAN region.,TRUE,normal
3,41,NA,TRUE,empty
