page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,NA,TRUE,empty
1,3,© 2018 International Monetary Fund,TRUE,normal
1,4,IMF Country Report No. 18/216,TRUE,normal
1,5,VIETNAM SELECTED ISSUES,TRUE,normal
1,6,This Selected Issues paper on Vietnam was prepared by a staff team of the International,TRUE,normal
1,7,Monetary Fund as background documentation for the periodic consultation with the,TRUE,normal
1,8,member country. It is based on the information available at the time it was completed on,TRUE,normal
1,9,"May 23, 2018.",TRUE,garbage
1,10,NA,TRUE,empty
1,11,NA,TRUE,empty
1,12,NA,TRUE,empty
1,13,Copies of this report are available to the public from,TRUE,normal
1,14,NA,TRUE,empty
1,15,International Monetary Fund • Publication Services,TRUE,normal
1,16,"PO Box 92780 • Washington, D.C. 20090",TRUE,normal
1,17,Telephone: (202) 623-7430 • Fax: (202) 623-7201,TRUE,normal
1,18,E-mail: publications@imf.org Web: http://www.imf.org,TRUE,normal
1,19,Price: $18.00 per printed copy,TRUE,normal
1,20,NA,TRUE,empty
1,21,NA,TRUE,empty
1,22,International Monetary Fund,TRUE,normal
1,23,"Washington, D.C.",TRUE,normal
1,24,July 2018,TRUE,garbage
1,25,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,NA,TRUE,empty
2,3,VIETNAM SELECTED ISSUES,TRUE,normal
2,4,Approved By Asia and Pacific Department,TRUE,normal
2,5,"Prepared by Anja Baum (FAD), David Corvino (APD) and Mitsuru Katagiri (MCM)",TRUE,normal
2,6,NA,TRUE,empty
2,7,"POTENTIAL OUTPUT ESTIMATES— A NEW LOOK ________________________________ 3 A. Potential Output Estimates Using A HP Filter ____________________________________ 3 B. Potential Output Estimates Using Multivariate Filter _____________________________ 4 C. Potential Output Estimates Using a Multivariate Filter with Financial Frictions __ 6 D. Potential Output Estimates Using a Production Function Approach _____________ 7 E. Conclusions ______________________________________________________________________ 9 References _________________________________________________________________________ 15 BOX 1. Vietnam’s Phillip’s Curve _________________________________________________________ 5 APPENDIX I. Models Equations, Calibration and Assumptions ______________________________ 11 VIETNAM: CREDIT GROWTH AND ASSET MARKET VALUATIONS ____________ 17 A. Credit Growth __________________________________________________________________ 17 B. Stock Markets __________________________________________________________________ 20 C. Real Estate Prices ______________________________________________________________ 22 D. Conclusions ____________________________________________________________________ 24 References _________________________________________________________________________ 25 FIGURES 1. Selected Economies: Credit-to-GDP Ratios Relative to Benchmark ____________ 20 2. Selected Economies: Real Estate Price Estimation______________________________ 24 FISCAL RULES IN VIETNAM: CALIBRATION AND OPTIONS ___________________ 26 A. Public Debt and the Debt Rule _________________________________________________ 26 B. Calibrating the Debt Rule ______________________________________________________ 27",TRUE,normal
2,8,CONTENTS,TRUE,normal
2,9,"May 23, 2018",TRUE,garbage
2,10,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,VIETNAM,TRUE,normal
3,3,2 INTERNATIONAL MONETARY FUND,TRUE,page_footer
3,4,C. Augmenting Debt Ceilings with Expenditure Rules (ERs) ___________________________________ 29 References _______________________________________________________________________________________ 35,TRUE,normal
3,5,TABLES 1. Scenario Analysis _____________________________________________________________________________ 29 2. 2015 Expenditure Rules in Emerging Markets ________________________________________________ 30 3. Options for Expenditure Rules ________________________________________________________________ 32,TRUE,normal
3,6,APPENDIX I. Principles of Fiscal Rules ______________________________________________________________________ 33,TRUE,normal
3,7,NA,TRUE,empty
4,1,NA,FALSE,empty
4,2,VIETNAM,FALSE,normal
4,3,INTERNATIONAL MONETARY FUND 3,FALSE,page_footer
4,4,"POTENTIAL OUTPUT ESTIMATES—A NEW LOOK1 Vietnam has undergone a major transition in the last decade. This paper seeks to assess how this transformation has affected its growth potential. Employing a range of methodologies, the analysis concludes that Vietnam’s medium-term growth potential has increased from 6.2 percent estimated in 2014 to 6.5 percent. Acceleration of reforms that have generated productivity gains in the last decade, including the implementation of agreed free trade agreements, could further boost growth potential.",FALSE,normal
4,5,"1. Vietnam has undergone a major transformation in the last decade. A very productive export-oriented sector financed by FDI has boomed, and in 2017, was responsible for more than two-thirds of Vietnamese exports and a third of the ASEAN’s tech exports. Urbanization has progressed and, concomitantly, employment has continued to shift away from agriculture toward industry and the service sectors, further boosting productivity. The large state-owned enterprise (SOE) sector, which has historically been a barrier to the development of a vibrant private sector, is undergoing equitization and reforms. These measures are helping to limit state involvement in the economy by restricting SOE operations to core areas. Together, these forces have contributed to increase Vietnam’s productivity.",FALSE,normal
4,6,"2. This paper seeks to understand how Vietnam’s transition has affected its growth potential. The most recent IMF estimates of potential GDP for Vietnam date back to 2014, before the FDI-boom started in earnest.2 Vietnamese authorities do not publish potential output calculations. The empirical foundations for estimating potential output have also evolved following the GFC. This paper uses several approaches—both well-established in the literature and new methodologies—to estimate potential output for Vietnam: (i) a Hodrick-Prescott (HP) filter; (ii) a multivariate filter; (iii) a multivariate filter augmented by financial frictions; and (iv) a production function approach. Appendix I contains the details on each methodology.",FALSE,normal
4,7,A. Potential Output Estimates Using A HP Filter,FALSE,sectionheader
4,8,"3. The HP filter, a purely statistical tool used to extract a trend component from a time series, is applied to GDP. The trend is chosen to minimize a loss function that depends on both the deviation of the trend from actual GDP and the curvature of the trend. The smoothing parameter λ determines the relative weight of these two objectives. While the HP filter’s main qualities are its simplicity and",FALSE,normal
4,9,"1 Prepared by David Corvino (APD). I would like to thank Mr. Nguyen Duc Trung, Deputy Director General of the Forecasting and Statistics Department of the SBV for organizing the seminar as well as all the participants for their thoughtful comments. 2 In 2017, FDI inflows reached US$17.5 billion, up 40 percent compared to 2014.",FALSE,normal
4,10,-3,FALSE,garbage
4,11,-2,FALSE,garbage
4,12,-1,FALSE,garbage
4,13,0,FALSE,garbage
4,14,1,FALSE,garbage
4,15,2,FALSE,garbage
4,16,3,FALSE,garbage
4,17,4,FALSE,garbage
4,18,5,FALSE,garbage
4,19,0,FALSE,garbage
4,20,1,FALSE,garbage
4,21,2,FALSE,garbage
4,22,3,FALSE,garbage
4,23,4,FALSE,garbage
4,24,5,FALSE,garbage
4,25,6,FALSE,garbage
4,26,7,FALSE,garbage
4,27,8,FALSE,garbage
4,28,9,FALSE,garbage
4,29,10,FALSE,garbage
4,30,20 00,FALSE,garbage
4,31,Q1 20,FALSE,garbage
4,32,00 Q3,FALSE,garbage
4,33,20 01,FALSE,garbage
4,34,Q1 20,FALSE,garbage
4,35,01 Q3,FALSE,garbage
4,36,20 02,FALSE,garbage
4,37,Q1 20,FALSE,garbage
4,38,02 Q3,FALSE,garbage
4,39,20 03,FALSE,garbage
4,40,Q1 20,FALSE,garbage
4,41,03 Q3,FALSE,garbage
4,42,20 04,FALSE,garbage
4,43,Q1 20,FALSE,garbage
4,44,04 Q3,FALSE,garbage
4,45,20 05,FALSE,garbage
4,46,Q1 20,FALSE,garbage
4,47,05 Q3,FALSE,garbage
4,48,20 06,FALSE,garbage
4,49,Q1 20,FALSE,garbage
4,50,06 Q3,FALSE,garbage
4,51,20 07,FALSE,garbage
4,52,Q1 20,FALSE,garbage
4,53,07 Q3,FALSE,garbage
4,54,20 08,FALSE,garbage
4,55,Q1 20,FALSE,garbage
4,56,08 Q3,FALSE,garbage
4,57,20 09,FALSE,garbage
4,58,Q1 20,FALSE,garbage
4,59,09 Q3,FALSE,garbage
4,60,20 10,FALSE,garbage
4,61,Q1 20,FALSE,garbage
4,62,10 Q3,FALSE,garbage
4,63,20 11,FALSE,garbage
4,64,Q1 20,FALSE,garbage
4,65,11 Q3,FALSE,garbage
4,66,20 12,FALSE,garbage
4,67,Q1 20,FALSE,garbage
4,68,12 Q3,FALSE,garbage
4,69,20 13,FALSE,garbage
4,70,Q1 20,FALSE,garbage
4,71,13 Q3,FALSE,garbage
4,72,20 14,FALSE,garbage
4,73,Q1 20,FALSE,garbage
4,74,14 Q3,FALSE,garbage
4,75,20 15,FALSE,garbage
4,76,Q1 20,FALSE,garbage
4,77,15 Q3,FALSE,garbage
4,78,20 16,FALSE,garbage
4,79,Q1 20,FALSE,garbage
4,80,16 Q3,FALSE,garbage
4,81,20 17,FALSE,garbage
4,82,Q1 20,FALSE,garbage
