page_number,paragraph_number,text,pages_to_skip,detection
1,1,NA,TRUE,empty
1,2,© 2018 International Monetary Fund,TRUE,normal
1,3,IMF Country Report No. 18/215,TRUE,normal
1,4,VIETNAM 2018 ARTICLE IV CONSULTATION—PRESS RELEASE AND STAFF REPORT,TRUE,normal
1,5,"Under Article IV of the IMF’s Articles of Agreement, the IMF holds bilateral discussions",TRUE,normal
1,6,"with members, usually every year. In the context of the 2018 Article IV consultation with",TRUE,normal
1,7,"Vietnam, the following documents have been released and are included in this package:",TRUE,normal
1,8,• A Press Release summarizing the views of the Executive Board as expressed during its,TRUE,normal
1,9,"June 8, 2018, consideration of the staff report that concluded the Article IV",TRUE,normal
1,10,consultation with Vietnam.,TRUE,normal
1,11,• The Staff Report prepared by a staff team of the IMF for the Executive Board’s,TRUE,normal
1,12,"consideration on a lapse of time basis, following discussions that ended on March 30,",TRUE,normal
1,13,"2018, with the officials of Vietnam on economic developments and policies. Based on",TRUE,normal
1,14,"information available at the time of these discussions, the staff report was completed",TRUE,normal
1,15,"on May 24, 2018.",TRUE,normal
1,16,• An Informational Annex prepared by the IMF staff.,TRUE,normal
1,17,The documents listed below have been or will be separately released.,TRUE,normal
1,18,Selected Issues,TRUE,normal
1,19,The IMF’s transparency policy allows for the deletion of market-sensitive information and,TRUE,normal
1,20,premature disclosure of the authorities’ policy intentions in published staff reports and,TRUE,normal
1,21,other documents.,TRUE,normal
1,22,Copies of this report are available to the public from,TRUE,normal
1,23,International Monetary Fund • Publication Services,TRUE,normal
1,24,"PO Box 92780 • Washington, D.C. 20090",TRUE,normal
1,25,Telephone: (202) 623-7430 • Fax: (202) 623-7201,TRUE,normal
1,26,E-mail: publications@imf.org Web: http://www.imf.org,TRUE,normal
1,27,Price: $18.00 per printed copy,TRUE,normal
1,28,International Monetary Fund,TRUE,normal
1,29,"Washington, D.C.",TRUE,normal
1,30,July 2018,TRUE,garbage
1,31,NA,TRUE,empty
2,1,NA,TRUE,empty
2,2,Press Release No. 18/284,TRUE,normal
2,3,FOR IMMEDIATE RELEASE,TRUE,normal
2,4,"July 10, 2018",TRUE,garbage
2,5,IMF Executive Board Concludes the 2018 Article IV Consultation with Vietnam,TRUE,normal
2,6,"On June 8, 2018, the Executive Board of the International Monetary Fund (IMF) concluded the",TRUE,normal
2,7,"Article IV Consultation with Vietnam1, and considered and endorsed the staff appraisal without",TRUE,normal
2,8,meeting.2,TRUE,normal
2,9,"Vietnam’s dynamic, highly open economy had a bumper year in 2017. Growth was broad-based",TRUE,normal
2,10,and accelerated to 6.8 percent while inflation remained below the 4 percent target reflecting low,TRUE,normal
2,11,food prices and a stable exchange rate. Private consumption continued to be driven by rural-to-,TRUE,normal
2,12,"urban migration, rising incomes, and a growing middle class. It was also facilitated by",TRUE,normal
2,13,"accommodative financial conditions, stronger bank balance sheets, and an improving business",TRUE,normal
2,14,"climate as reforms continued in the banking sector, privatizations and cuts in red tape. The",TRUE,normal
2,15,current account surplus increased as the global recovery and real effective depreciation due to a,TRUE,normal
2,16,"weaker dollar helped strong inflows from exports, tourism, and remittances. Vietnam also",TRUE,normal
2,17,"received record FDI and other capital inflows, aided by solid growth, accelerating domestic",TRUE,normal
2,18,"business formation, and the low global interest rates. The central bank maintained the Dong",TRUE,normal
2,19,within a tight range to the dollar and accumulated US$12½ billion of international reserves in,TRUE,normal
2,20,"2017, bolstering low reserve buffers.",TRUE,normal
2,21,"1 Under Article IV of the IMF's Articles of Agreement, the IMF holds bilateral discussions with members, usually",TRUE,normal
2,22,"every year. A staff team visits the country, collects economic and financial information, and discusses with officials",TRUE,normal
2,23,"the country's economic developments and policies. On return to headquarters, the staff prepares a report, which",TRUE,normal
2,24,forms the basis for discussion by the Executive Board.,TRUE,normal
2,25,2 The Executive Board takes decisions under its lapse of time procedure when it is agreed by the Board that a,TRUE,normal
2,26,proposal can be considered without convening formal discussions.,TRUE,normal
2,27,International Monetary Fund,TRUE,normal
2,28,"700 19th Street, NW",TRUE,normal
2,29,"Washington, D. C. 20431 USA",TRUE,normal
2,30,International Monetary Fund,TRUE,normal
2,31,"700 19th Street, NW",TRUE,normal
2,32,"Washington, D. C. 20431 USA",TRUE,normal
2,33,NA,TRUE,empty
3,1,NA,TRUE,empty
3,2,2,TRUE,garbage
3,3,NA,TRUE,empty
3,4,"The strong economic momentum is expected to continue in 2018, aided by the reform drive,",TRUE,normal
3,5,"higher potential output, the global recovery, and commitment to macroeconomic and financial",TRUE,normal
3,6,"stability. Growth is projected at 6.6 percent in 2018, despite a mild tightening in credit growth",TRUE,normal
3,7,"targets and a neutral fiscal stance. Inflation is forecast to rise to just under the 4 percent target,",TRUE,normal
3,8,led by higher oil prices and gradual increases in administered prices. On current trends and if,TRUE,normal
3,9,"reforms continue at their current pace, 6½ percent annual growth remains feasible beyond 2018.",TRUE,normal
3,10,The current account surplus is expected to decline over the medium term as structural reforms,TRUE,normal
3,11,"boost investment and real effective appreciation of the Dong resumes its trend, leaving reserves",TRUE,normal
3,12,at 2½–3 months of imports.,TRUE,normal
3,13,"Despite recent economic strength, economic distortions and capacity constraints remain, and",TRUE,normal
3,14,external and domestic risks and longer-term challenges loom on the horizon. Financial buffers,TRUE,normal
3,15,"are still thin, macroeconomic policy frameworks remain inflexible to manage possible shocks,",TRUE,normal
3,16,and the external position is substantially stronger than warranted by fundamentals. The strong,TRUE,normal
3,17,economy provides an opportunity for more ambitious reforms to level the playing field by,TRUE,normal
3,18,"tackling remaining distortions and capacity constraints, increasing investment and reducing the",TRUE,normal
3,19,external surplus.,TRUE,normal
3,20,Executive Board Assessment3,TRUE,normal
3,21,NA,TRUE,empty
3,22,"Vietnam’s dynamic, highly open economy continues to perform well. The solid performance is",TRUE,normal
3,23,"aided by macroeconomic and financial stability, stepped up economic reforms, and inflows of",TRUE,normal
3,24,foreign direct investment which are enabling structural transformation and are raising potential,TRUE,normal
3,25,growth. The strong economic momentum is expected to continue. But financial buffers are still,TRUE,normal
3,26,"thin, macroeconomic policy frameworks remain inflexible, complicating the management of",TRUE,normal
3,27,"shocks, and the external position is substantially stronger than warranted by fundamentals. The",TRUE,normal
3,28,strong economy provides an opportunity for more ambitious reforms to level the playing field,TRUE,normal
3,29,"by tackling remaining distortions and capacity constraints, increasing investment and reducing",TRUE,normal
3,30,the external surplus.,TRUE,normal
3,31,Fiscal policy should emphasize high-quality consolidation to meet large development needs and,TRUE,normal
3,32,ensure that Vietnam has fiscal space to meet longer-term challenges. A slightly more ambitious,TRUE,normal
3,33,"consolidation than currently planned, and a lower debt ceiling than the current statutory limit,",TRUE,normal
3,34,"3 At the conclusion of the discussion, the Managing Director, as Chairman of the Board, summarizes the views of",TRUE,normal
3,35,"Executive Directors, and this summary is transmitted to the country's authorities. An explanation of any qualifiers",TRUE,normal
3,36,used in summings up can be found here: http://www.imf.org/external/np/sec/misc/qualifiers.htm.,TRUE,normal
3,37,NA,TRUE,empty
4,1,NA,TRUE,empty
4,2,3,TRUE,garbage
4,3,NA,TRUE,empty
4,4,will be needed to create additional fiscal room before aging sets in the mid-2030s and provision,TRUE,normal
4,5,for contingencies. Stronger consolidation could boost medium-term growth if it relied on high-,TRUE,normal
4,6,quality structural fiscal measures and measures to boost private investment. Reforms should,TRUE,normal
4,7,focus on broadening tax bases; reducing administrative and wage-related spending; protecting,TRUE,normal
4,8,"social spending through well designed social security and civil service reforms; and, protecting",TRUE,normal
4,9,and improving the quality of public investment. Comprehensive and timely fiscal accounts,TRUE,normal
4,10,based on GFSM 2014 and improved budget planning and execution should help facilitate,TRUE,normal
4,11,consolidation.,TRUE,normal
4,12,"To sustain macroeconomic stability, monetary policy should be tightened by further lowering",TRUE,normal
4,13,credit growth to bring it in line with ongoing improvements in financial deepening. Greater two-,TRUE,normal
4,14,way exchange rate flexibility within the current band should be allowed to reduce speculative,TRUE,normal
4,15,"inflows, absorb shocks and help bring down the external surplus. Reserve accumulation should",TRUE,normal
4,16,"continue but more gradually, with fully sterilized interventions. The modernization of the",TRUE,normal
4,17,"monetary framework should start, gradually easing away from credit targets to begin a phased",TRUE,normal
4,18,shift to inflation targeting and greater exchange rate flexibility.,TRUE,normal
4,19,"Financial sector balance sheets, supervision and risk management need to be further",TRUE,normal
4,20,strengthened. A stronger financial sector can help improve the efficiency of financial,TRUE,normal
4,21,intermediation to service the domestic economy and investment. Strong credit and asset price,TRUE,normal
4,22,growth may be contributing to the build-up of risks in the financial system. SOCBs should be,TRUE,normal
4,23,"capitalized swiftly with government funds, and by raising private sector and foreign ownership",TRUE,normal
4,24,limits. It is critical to develop a macroprudential framework and improve data quality on credit,TRUE,normal
4,25,"aggregates and balance sheet exposures to monitor and proactively manage risks, and ensure",TRUE,normal
4,26,that sufficiently robust liquidity and crisis management frameworks are in place to provide legal,TRUE,normal
4,27,and operational clarity regarding early intervention and communication to mitigate emerging,TRUE,normal
4,28,financial sector risks.,TRUE,normal
4,29,The reform drive needs to be broadened and accelerated to tackle the remaining barriers to,TRUE,normal
4,30,investment and to raise labor productivity. Priority areas include: high-quality infrastructure,TRUE,normal
4,31,investments; further reductions in regulatory barriers and transitioning to international standards,TRUE,normal
4,32,"for regulatory excellence, transparency and data quality to aid investment; reforms to tertiary",TRUE,normal
4,33,education; efforts to reduce the concentration of land ownership in state hands; and continued,TRUE,normal
4,34,reforms in state-owned enterprises. Vietnam must continue to enhance anti-corruption measures,TRUE,normal
4,35,and address the threat of climate change.,TRUE,normal
4,36,NA,TRUE,empty
5,1,NA,TRUE,empty
5,2,4,TRUE,garbage
5,3,NA,TRUE,empty
5,4,"Table 1. Vietnam: Selected Economic and Financial Indicators, 2013–19 1/",TRUE,normal
5,5,Est. Projections,TRUE,normal
5,6,2013 2014 2015 2016 2017 2018 2019,TRUE,garbage
5,7,Output Real GDP (percent change) 5.4 6.0 6.7 6.2 6.8 6.6 6.5,TRUE,normal
5,8,Prices (percent change) CPI (period average) 6.6 4.1 0.6 2.7 3.5 3.8 4.0,TRUE,normal
5,9,CPI (end of period) 6.0 1.8 0.6 4.7 2.6 4.0 4.0,TRUE,normal
5,10,Core inflation (end of period) 4.2 2.7 1.7 1.9 1.3 2.0 3.1,TRUE,normal
5,11,Saving and investment (in percent of GDP),TRUE,normal
5,12,Gross national saving 31.2 31.7 27.5 29.5 29.0 29.8 30.2,TRUE,normal
5,13,Private 29.8 29.6 25.4 27.3 26.2 26.9 27.4,TRUE,normal
5,14,Public 1.5 2.1 2.1 2.2 2.8 2.9 2.8,TRUE,normal
5,15,Gross investment 26.7 26.8 27.6 26.6 26.6 27.7 28.4,TRUE,normal
5,16,Private 17.7 18.7 20.0 19.0 19.2 20.3 21.1,TRUE,normal
5,17,Public 9.0 8.1 7.6 7.6 7.4 7.4 7.4,TRUE,normal
5,18,General government finances (in percent of GDP) 2/ Revenue and grants 23.1 22.2 23.8 23.7 23.6 23.3 23.0,TRUE,normal
5,19,Of which: Oil revenue 3.4 2.5 1.6 0.9 0.9 0.7 0.6,TRUE,normal
5,20,Expenditure 30.5 28.5 29.2 28.5 28.1 27.9 27.8,TRUE,normal
5,21,Expense 21.6 20.4 21.7 21.0 20.7 20.6 20.4,TRUE,normal
5,22,Net acquisition of nonfinancial assets 9.0 8.1 7.5 7.5 7.4 7.3 7.3,TRUE,normal
